,0,1,2
0,,reviews,label
1,0.0,ㅎㅎ,10
2,1.0,"세상 모든 걸 튀겨버릴 것만 같은 튀김집.
국물맛이 좋았던 쌀떡볶이는 튀김의 느낌을 잡아주는 횟집의 미역국 역할.
튀김과 떡볶이로 술 한 잔 땡기게 만드는 재밌는 호프집.

계란 지단부터 순대까지, 튀기지 않는 게 없는 집이었음.
(메뉴판 참조)
상호처럼 씹을 때 빠사삭 소리 나게 잘 튀겨졌고,
기름의 선도를 유지하기 위해 육류 튀김을 안쓰신다는데 그때문인 지 텁텁함은 없었다.

술 안마실 생각이었는데 맥주 주문을 피할 수 없었음.
동네에 이런 집 있음 참 좋았겠다…ㅠㅠ 주차는 불가.",10
3,2.0,"원래 백종원 골목식당나온 떡볶이집 가려고 했는데 재료 소진.... 온게 아쉬워서 바로 근방에 있는 떡볶이집이라 방문한 곳이에요! 근데 알고보니 튀김맛집이더라구요
베이컨 아스파라거스가 진짜! 맛있고 어묵도 .. 계란도 멘보샤도 다 맛았었어요(순대는 냄새가 좀 나서 그거 빼곤 정말 맛있었던 걸로)
떡볶이는 그냥 먹으면 밍숭맹숭한 국물떡볶이인데 튀김과 조합이 좋아요!",10
4,3.0,"6,500원에 맛보는 궁극의 분식튀김 코스요리.

—
신림동 고시촌을 비추는 두 개의 빛. 아침엔 <라빈느>, 저녁엔 <빠사삭>.

우리의 머릿속에 있는 분식집 튀김은 튀김옷을 두툼하게 입혀 미리 튀겨 두었다가 주문과 함께 기름에 데워 내는, 떡볶이의 곁들임 정도의 포지션을 가진 음식이다. 반면 최근 늘어난 일본식 튀김집들은 아주 비싸게 포지셔닝되고 있는데, 그걸 보면서 왠지 모르게 속이 쓰렸더랬다.

<빠사삭>은 이런 분식집 튀김의 이미지를 빠사삭 부숴버리는 곳이다. 김말이, 새우, 오징어 같은 분식집의 스테디셀러 외에도 계란지단, 파인애플, 통순대, 쥐포 같은 색다른 재료들을 튀겨내는데, 재료들 본연의 식감은 살려내면서 튀김옷은 기분좋게 바스락거리도록 튀겨내는 솜씨가 정말 보통이 아니다. 인상깊었던 계란지단튀김은 계란을 풀어 도톰한 모양으로 익힌 뒤 그대로 튀겨냈는데, 계란과 튀김옷 싸움에 고소함 터진다.

부드럽고 달달한 국물 떡볶이에 튀김 세 종류가 포함된 세트가 6,500원. 1천원대의 다양한 튀김들을 추가하여 나만의 코스로 즐길 수 있다. 크리미하게 따라낸 생맥주를 곁들여 궁극의 K-튀김을 먹고 있자니, 국뽕이 차오르며 몇 만원 주고 덴푸라, 쿠시카츠 먹으러 갈 필요가 있나 싶더라.



instagram: colin_beak",10
5,4.0,"** 튀김으로 고평가된 느낌, 떡볶이는 별로...

튀김으로 유명한 집이죠.
튀김이 신선한건 맞는데 선도에 비해 그렇게 맛있는지 잘 모르겠어요.
고평가된 느낌이에요.

+
@ 선택지가 다양한 튀김
여기 튀김의 종류가 다양해요.
오징어, 새우, 아나고 등 생선 튀김만 해도 6종류에
기타 튀김은 10가지가 넘어서
분식집 치고는 정말 다양한 튀김을 먹어볼 수 있죠.
그런 점에서 맥주 한 잔을 곁들이거나 하기엔 좋을 것 같아요.
1인 튀김 세트가 있는 것도 좋았습니다.
튀김은 신선하게 튀겨 내시는 것 같았어요.

-
@ 떡볶이는 아가가 먹어도 무난할 정도로 밍밍해요..
보통 이런 튀김집의 떡볶이는 튀지 않는 무난한 국물 떡볶이가
많은 것 까진 알겠는데, 이 집은 너무하지 않나요?
진짜 밍밍한 국물이.. 요새는 초딩들도 이것보단
매운 떡볶이를 먹을 것 같은데요.
튀김을 먹다 보면 칼칼한 떡볶이 국물이 땡기기 마련인데
이 집 떡볶이는 너무 밍밍해서 갈증이 더 나요;
양념 좀 더 해주심이...

튀김으로 나름 유명한 집인데,
갈 때 마다 그다지 큰 특색은 느끼지 못했습니다.
신선하게 튀겨낸 것 외엔, 재료가 신선하면 맛있는 오징어 튀김도
이 집에선 그닥 맛있다고 느껴보지 못한 것 같아요.
때문에 항상 갈 때 마다 고평가됐다는 생각이 들 수 밖엔 없네요..
근방에 이런 곳이 별로 없다는 점에서 의미있는 집 같아요.",10
6,5.0,퀄리티있는 “분식집”,10
7,6.0,"이제 빠사삭 리뷰는 그만 쓸 때도 되었지만 또 배달은 처음이라..! 신림에서 방을 잠깐 쓸 일이 있어 배달을 시켜봤는데 시간이 늦으면 배달이 힘들긴 하더라구요.. 어플에서 일시적 마감이라길래 사장님께 전화해보니 가게가 막은 건 아니고 라이더 분들이 안 계신 건지 막힌 것 같더라구요. 다행히 사장님이 방금 취소된 콜 하나 있으니까 다시 해보라고 알려주셔서 빛의 속도로 후다닥 주문했어요!

기름 때문에 눅눅해지다보니 배달로 튀김류를 먹는 건 뭔가 조심스러워지는데 빠사삭은 기우였어요. 물론 매장에서 먹는 거만큼이라고 하면 살짝 거짓말 섞인 거지만 그 빠삭거림이 꽤 오래 지속되었어요! 배달시간까지 고려를 하신 건지 잘 튀겨졌던 것 같아요.

각종 튀김에 떡볶이까지 넉넉하게 주문했는데 확실히 가격이 저렴하긴 하네요.. 장바구니를 열심히 담았는데도 금액이 많이 올라가지 않았던 기억! 떡볶이는 약간 맛이 묽어서 솔직히 좋아하는 취향의 맛은 아니지만 튀김만 먹으면 살짝 물릴 수 있기 때문에 살짝 담가 먹기 좋은 것 같아요. 여기 튀김은 사실 재료에 따라 조금씩 다른 거지 전체적인 식감, 맛은 비슷해서 취향에 맞게 고르면 되는 것 같아요. 전 새우, 오징어 등 실패하지 않는 튀김도 좋지만 양파, 아스파라거스 등 야채류 튀김이 끌리는 것 같아요. 흔하지 않으면서 맛도 챙기는 튀김들! 이번에도 맛있었네요 ㅎㅎ

물론 가게에서 시원한 생맥에 즐기는 튀김만큼은 아니지만 배달로 먹어도 맛있네요. 이 집은!",10
8,7.0,"포장으로 A세트(15천원)를 먹어봤는데, 돈까스 빼고는 모든 튀김이 맛이 좋았다.

포장 뜯을 때 뭔 소스가 이리 많냐라고 했는데 다 쓰임새가 있더라능.

쏘주 안주로 개꿀!",10
9,8.0,"튀김으로 유명한 분식집이라해서 새벽에 거의 라스트오더로 겨우 주문. 늦게까지해서 주변 사람들은 야식으로도 좋을듯.
튀김종류가 정말 많고 바삭바삭해서 정말 맛있다. 떡볶이는 튀김에 먹기 좋은 국물 떡볶이 형태. 매콤하고 칼칼한게 튀김먹다가 촥 입가심 같았음. 양파튀김, 오징어튀김, 새송이버섯 등등 야채종류도 많고 배달이어도 바삭하게 온게 배불러도 느끼하지 않게 더 들어가는 튀김이었음",10
10,9.0,완전 새벽이라 정말 겨우겨우 배달시켜먹은 빠사삭!! 하마터면 못먹고 집 돌아갈 뻔 했잖아요ㅋㅋ 먹어본 맛이지만 아는 맛이 무서워 이것저것 담게 됐답니다. 셋이서 먹었는데 배가 좀 찬 상태여서 그런지 떡볶이는 하나로 충분했어요. 정말 길게 잘라주는 오징어 튀김 너무 좋았고 튀김옷 부자인 팽이버섯도 너무 좋았어요ㅎㅎ,10
