,0,1,2
0,,reviews,label
1,0.0,"드디어 슬로우치즈의 모짜렐라를 먹었습니다! 11시 30분 오픈이고, 평일 11시 50분쯤 도착한 것 같은데 제가 마지막 자리를 차지했어요ㅎㅎ 원격 대기 없고, 웨이팅 공간도 따로 없는 데다가 회전율이 높지 않으니 참고하시면 좋을 것 같습니다!

모짜렐라 치즈는 토스트 메뉴로는 없고, 샐러드로만 있다고 하고요. 주문하면 카프레제 샐러드와 함께 빵 한 쪽이 같이 나와요.매듭지은 듯 예쁜 모짜렐라는 칼로 썰 때는 나름 단단한 것 같은데, 입에서는 부드러운 게 신기하고 맛있었어요. 심지어 카프레제 샐러드도 맛있었습니다! 근데 한 달 치 토마토를 한 끼에 다 먹은 것 같은 양이라 후반부에는 조금 힘들었어요ㅋㅋㅋ 여하튼 웨이팅을 할 수도 있다는 압박감만 없다면, 종종 가고 싶어지는 맛이었습니다.",14
2,1.0,"한국 돌아오자마자 업로드하는 곳이 슬로우치즈라 기쁘네요. 가고싶다고 저장만 해놓고 계속 엄두를 못 냈는데, 평일 점심으로 혼자라면 가능하지 않을까?해서 바로 갔어요!

주말엔 아직도 사람이 많을지 모르겠지만, 평일 점심엔 여유로웠어요 :) 한약 냄새가 솔솔 나는데 한약 좋아하는 저로서는 냄새가 참 편안하고 또 건강한 치즈 먹는 것 같아 참 기분이 좋았어요. 그런데 사실 메뉴 보고도 뭔지 잘 모르겠어서 사진 보면서 주문했어요.. 사진메뉴판을 구비해두는 친절함이 좀 더해져도 좋을 것 같네요.

프로슈토도 먹고 싶었으나 치즈가 올라가지 않는다고 해서 치즈와 빵을 모두 맛볼 수 있는 모짜렐라 샐러드로 주문했어요. 2인이 방문한다면 프로슈토와 부라타를 주문하고 싶네요!

모짜렐라는 가대만큼 고소하고 쫀득한게 잘라먹는 맛이 있더라고요…너무 만족스러웠습니다.. 접시에 뿌려진 오일과 발사믹까지 빵에 잘 묻혀서 남김없이 먹었어요!! 포장도 준비되어 있으니 홈파티 메뉴로도 좋을 것 같아요.",14
3,2.0,"인생 브런치집 찾았다!!!

웨이팅이 너무 길다고 들어서 그동안 엄두가 안났지만 운좋게 평일 늦은 점심시간에 웨이팅 없이 바로 들어갔어요!

내부 자리가 많이 없어요. 가게 자체도 작아요. 샌드위치가 실시간으로 만들어지는걸 볼 수 있는 재미가 있네요.

Mozzarella fior di latte)
모짜렐라 샐러드인데요. 이쁜거 빼고는 그냥 토마토+바질+모짜렐라치즈+빵 이런 간단한 느낌인데 진짜 신선한 재료들을 사용해서 그런가? 너~무~ 너~무 맛있었어요. 아는 맛인데 홈메이드 느낌이였고 그냥 맛있어요

Mozzarella fior di latte proscuitto crudo)
프로슈토 토스트. 사워도우 빵 위에 프로마쥬랑 루꼴라, 치즈 메인이고 안에는 꿀? 올리브오일? 크림치즈? 뭐가 안에 들어가있는데 달달하면서도 고급스러운 느낌이 나요. 이것도 진짜 너무 맛있어요.

부라타치즈)
이렇게 단독으로 부라타치즈 처음 먹어보는데! 올리브오일 + 후추만 간으로 되었는데 와인 안주고 좋겠다 생각이 들었어요. 자극적인 맛은 아니고 고소하고 단백하고 괜찮았아요. 한번쯤 먹어볼만한?

또 가고싶은 맛집 ㅠㅠ",14
4,3.0,동생 추천으로 가보고 싶었지만 웨이팅이 길다하여 시간이 지난 오늘 드뎌 먹어보았다! 치즈 그대로의 맛을 느낄 수 있는 곳은 이곳만한 곳이 없을 것 같다 :) 발사믹 소스가 진해서 더더욱 잘 어울린당 :),14
5,4.0,슬로우치즈 청담! 매장이 그렇게 크지않아 웨이팅을 할 수 있으니 참고하시면 좋을거같아요! 브라타치즈가 유명해서 브라타 치즈는 빠질 수 없기에 주문을 했어용 일단 결론은 세상에 이런치즈가 있을 정도인가 싶을 정도로 맛있었어요! 하 말로 표현이 안돼서 꼭꼭 드셔보셨으면 좋겠을 정도에요 ㅠㅠ 고소하고 플레이팅도 너무 예쁘고 치즈 좋아하시는 분들이라면 필 수 방 문 입니다!!,14
6,5.0,"출근 안하는 평일 가야할 리스트를 관리하고 있는데 그 중 대표주자였던 슬로우치즈.
오픈시간에 갔은데도 웨이팅 한시간 넘게 하고 입장.
하 메뉴는 3개이다. 언제 또 내가 올지 모르니 다 주문. 다행히 메뉴가 무거운 것들이 아니기에 두명이 셋다 먹는데 부담은 전혀 없다.
여기서 메뉴 딱 하나만 고르라면 나는 모짜렐라. 부라타냐 모짜렐라냐 모두다 ‘호’지만 그 중 뭐가 먼저냐는 의견이 다 다른듯. 어쨋든 난 모짜렐라다. 내가 알던, 먹어봤던 것과는 완전 다른 모짜렐라였다.
땋은 비주얼도 신기한데 부드럽게 결결이 찢어지는 것도 부드럽고 잔잔한 치즈맛이 퍼지는 것도 순하면서도 기억에는 강하게 박히는 이런 맛은 처음이야….
사장님 정말 대단하신 분…
부라타는 엄청 부드럽다. 둘러진 올리브오일에 담가 토마토샐러드와 함께 먹는데 흐.. 입안에서 다 녹아 없어짐.
프로슈토 샌듸치는 맛있긴하지만 프로슈토맛이 잇기에 치즈는 약간 서브격. 그치만 조화가 좋다.
치즈는 뭐 말할 것도 없고 빵도 맛있고 같이 있는 야채들도 맛있고
다들 이 비싼걸 기다려가며 먹나 싶을 수 있는데 먹어보면 사장님의 노고가 듬뿍 느껴지는 맛이라 인정된다.",14
7,6.0,19년도에 갔었는데 대기손님 받다 재료 준비하러 들어가신 직원분이 토마토를 떨어트리고 씻지 않은 상태 그대로 조리대로 가져가는 걸 보고 다신 오지 말아야겠다고 생각했어요. 시간이 지났으니 지금은 바뀌었겠죠.,14
8,7.0,"모짜렐라 샐러드 , 부라타 토스트 주문했습니다. 우선 비주얼이 실타래 처럼 꼬여나오는 모짜렐라, 탐스러운 부라타 치즈가 너무 예뻤어요. 가격이 좀 나가는 편이라 걱정했는데 돈값하더라구요 ㅎㅎ
쫄깃쫄깃하고 부드러운 치즈맛이 일품이었습니다. 재방문의사 많으나 가격이 좀 떨어졌으면 좋겠어요. 가격만 좀 낮았더라면 정말 매일 방문했을 것 같네요",14
9,8.0,"이영자 맛집으로 유명한 슬로우 치즈
오픈 때 찾아갔습니다 저 정말 치즈 좋아하는데
버터에 밥 비벼 먹고 앙버터도 좋아하고
치즈 추가해서 모든 음식을 먹는 편인데
슬로우 치즈 반정도 먹고 더 이상 못 먹겠더라구요
느끼해요....",14
