,0,1,2
0,,reviews,label
1,0.0,"어릴 때부터 윙 킬러였다. 미국에 가서도 윙을 정말 자주 먹었다. 잘 튀겨서 다채로운 소스에 버무려진 버팔로윙을 먹다가 간간이 샐러리와 당근스틱을 먹어주면 무한정으로 먹을 수 있을 것 같은 느낌이 들곤 한다 ㅎ

잇딜이 있다는 걸 발견하고 지체없이 방문한 네키드 윙즈.
더블 플래터 (잇딜가 27,200)는 구성이 알차다.

• 레몬페퍼
군더더기 없이 깔끔하고 짭짤해서 자주 먹던 나의 go-to pick
• 버팔로
클래식 중의 클래식, 새콤매콤한 이 소스는 아무리 먹어도 질리지 않는다.
• 자메이칸
생각보다 촉촉한 소스라서 놀랐다. 나는 드라이럽을 기대했는데 너무 달아서 쉽게 물리는 맛이었다. 가장 아쉬웠던 소스.
• 허니버터
이 소스 역시 너무 달았다. 다음에는 차라리 단맛을 아주 배제시키는 구성으로 선택해야겠다.

• 양파링
꽤 괜찮다. 사실 그냥 양파 통째로 튀긴 것도 부족함 없이 맛있는데, 이렇게 대왕사이즈인 것 빼고는 또 아주 그렇게 인상깊지는 않았다.

• 칠리
칠리 콘 까르네, 곧 Tex-Mex 향이 낭낭한 고기 스튜 정도로 생각하면 될 듯. 우리나라에서 흔히 파는 메뉴는 아니기에 동행은 이런 메뉴가 나올 줄 몰랐다고 한다. 나도 윙집에서 칠리가 있는 건 처음보는 것 같았다.

• 네키드 사워 9,900
얼그레이가 들어갔다는 말 하나 때문에 궁금해져서 주문해봤는데, 그냥 맥주 마시는 게 깔끔하고 좋을 것 같다.

어둑어둑 썰렁하고 후미진 뒷골목에 유일하게 북적이던 모습이 참 인상깊었다. 잇딜로 조만간 또 방문하고싶다. 다음번에는 주문할 때 달지 않은 소스들로 선택해야지.

2212-21",26
2,1.0,맛있어요 윙 아주굿굿,26
3,2.0,"진짜 본토의 윙 맛을 거의 재현한…!

정말 그 버팔로윙 특유의 살짝 새콤한 맛이 너무 그리웠는데 이런 윙 파는데가 어디있을까 수소문하다가 이태원 쪽 사는 친구가 추천해주는 곳! 기회가 생겨 가봄. 웨이팅은 좀 있었으나 기다리면 꽤 빨리 빠지긴한다. 보통 세트로 많이 시키는 것 같은데 거기 있는 거대 양파링이 생각외로 정말 맛있음. 양파를 살짝 갈아서 뭉쳐 튀겼는데 달달하니 맥주 안주로 찰떡,, 소스는 랜치 시켰는데 약간 밍밍해서 아쉬웠다ㅠㅠ 조금 더 자극적인(?) 랜치였으면 좋았을듯.
윙은 만족!",26
4,3.0,맛있다,26
5,4.0,구성도 좋고 재밌는 경험이었습니다,26
6,5.0,"평일 오후 5시 30분정도에 웨이팅했는데 앞에 2팀정도 있었다.
2호점이 생겨서 그런지 예전에 비해서는 웨이팅이 많이 줄어서 좋았다

시금치통닭 (2.8)> 시금치가 진짜 왕왕왕맛탱이었다.. 시금치만 먹으러 또 가고픈마음,,,

양키스더치맥주> 커피가 들어간 맥주! 처음먹어보는 맥주맛이었는데 나쁘지않았다~",26
7,6.0,"지옥의 웨이팅으로 유명한 양키통닭에 다녀왔습니다. 그래도 엄청 추운 날 다녀와서 생각보다 웨이팅이 길지 않았어요. (한 시간 정도) (ᵔᵕᵔ) 웨이팅 리스트 적어두면 전화를 주시니 본점과 2호점 둘다 적어두고 카페에서 기다리면 될 듯 합니다.

시금치 통닭과 코울슬로&후라이 주문했고, 얼그레이 하이볼도 한 잔씩 했어요. 세 명이서 갔는데 처음 치킨 양 보고 적겠다 싶었는데 프라이 먹고 하니깐 적당했습니다. 사실 엄청나게 특별한 맛은 아니었는데 통닭은 촉촉했고 의외로 시금치가 너무너무 맛있었어요! 살짝 소스가 가미되어 있는데, 시금치만 먹어도 맛있더라구요. 바닥에 깔린 후추밥같은 밥이랑도 잘 어울렸어요.

시금치 추가할지 엄청 고민하다가 추가했는데 후회하지 않습니다. 다만 처음부터 추가된 양으로 주면 좋을 것 같은데 먹는 중간에 시금치를 더 부어주셔서 그게 쫌 아쉬웠어요.
얼그레이 하이볼도 얼그레이향 진하게 맛있었습니다 :)

아보카도 코울슬로는 통닭과 잘 어울린다는 후기를 보고 시킨건데, 아보카도가 넉넉히 올라가져 있어서 맛있었어요. 상큼한 맛은 쪼금 부족해서 개운한 맛은 아니었습니다. 프렌치 프라이도 통통하고 바삭했어요. 재방문 의사 있습니다!

오리지널 시금치 통닭 27,000
시금치 추가 5,500
아보카도 코울슬로와 프렌치프라이 13,000",26
8,7.0,"맛:⭐️⭐️
재방문: X

맛이 없는 건 아닌데 여기를 왜 기다려서 먹어요...?

문래동에서 그믐족발이랑 고민하다가 먼저 웨이팅 순서가 온 양키통닭을 먹었는데 통닭 솔직히 트럭에서 파는 통닭 맛이랑 똑같고 시금치는 오일에 구운 맛 그 이상 그 이하도 아니다. 그렇다고 통닭과 곁들어 먹었을 때 특별한 맛이 내는 것도 아니었다. 통닭 내부에 들어있는 후추 향 많이 나는 밥이 유일하게 맛있었다.

이렇게 말하면 그렇지만 트럭에서 파는 통닭에 어머니가 해주시는 시금치 나물 올려서 먹으면 맛 비슷할 것 같다. 내부는 어둡고 예쁘다. 비추...",26
9,8.0,"문래동의 핫플 양키통닭

시금치통닭으로 유명한 곳이다. 항상 다른 메뉴도 궁금하지만 이 메뉴말고는 시켜본 적이 없다…가격이 2.6이라 비싸다고 생각이 들 수도 있으나 닭도 크고 감자, 밥 등이 들어있어 둘이 먹으면 충분히 배부르다. 시금치라는 음식이 이렇게 맛있을수 있구나를 느낄수있다 (감자, 마늘 등에서도 감칠맛이 엄청나다) 1호점 2호점 분위기가 사뭇 다르나 둘다 웨이팅이 많으니 5-6시 전에 호다닥 가서 이름을 적어놓는게 좋을것이다. 아 글쓰다보니 또 먹고싶다…",26
