,0,1,2
0,,reviews,label
1,0.0,"주말에도 대기줄이 있는 2년 연속 미쉐린에 선정된 우육면 맛집, 우육면관 광화문점에 다녀왔습니다. 1층은 바 형태이고 2층이 테이블인데 식사 시간이 되면 매장이 꽉 차는 곳이였어요. 메뉴는 우육면, 어향가지, 우육전골, 마파연두부를 판매하고 고수와, 밥은 원하면 셀프바에서 가져다 먹을 수 있었습니다.

기본 우육면을 주문해서 먹었는데 중간 굵기의 쫄깃한 면에 먹기 좋은 크기로 들어간 소고기, 정경채, 정말 진한 육수가 어우러져 현지 느낌나는 우육면이었어요. 라장(매운양념)을 넣어서 먹으면 약간 짬뽕맛과 같은 새로운 느낌으로 다시 우육면을 먹을 수 있다고 합니다. 새우, 돼지고기, 어린배추로 만든 중국식 물만두 수교는 육즙은 진한데 느끼하지 않고 담백한 맛이라 맛있었습니다.",29
2,1.0,.,29
3,2.0,"청계천점에서 우육면을 맛있게 먹었었는데, 광화문점에만 있는 우육전골을 먹으러 갔습니다. 육수가 정말 진하고 맛있었어요! 고기 종류가 다른 세 가지 정도가 들었고 야채와 버섯, 두부 등이 들어있는데 개인적으로 채소가 좀 더 있었으면 좋겠다는 생각이 들었습니다. 양이 많지 않아서 소면 사리 추천드리고 밥은 무료로 주시니 같이 먹으면 좋을 것 같아요(ᵔᵕᵔ) 세 가지 소스가 나오는데 고수장이 맛있었어요!

어향가지는 안주로 딱일 정도로 짭짤했고 녹진하더라구요. 다짐육이 넉넉히 들어 있어 맛있게 먹었어요.

수교는 살짝 아쉬웠습니다. 안에 새우가 탱글하긴 했는데 다소 차갑게 나와서 엄청 맛있진 않았던 것 같아요.

전반적으로 한번쯤 먹을만한 안주였던 것 같아요.

우육전골 1인분 24,000
어향가지 18,000
수교 8,000",29
4,3.0,"세상에... 여기 너무 맛있아요 ㅜㅜㅜㅜㅜ 저녁에 술먹으러 오기도 좋은 곳(?) ㅋㅋㅋㅋㅋㅋㅋㅋㅋ

우육면특이랑 마라마파연두부 먹었어요!!

우육면 국물 자극적이지 않고 고기 종류별로 부드럽고 너무 맛있어요 정말!!
종업원 분들도 세심하게 챙겨주시고 대접받는 느낌이 든달까요!!

마라마파연두부는 독특했어요 마파두부가 연두부고, 마라향이 아주 강해요!! 먹고 나서 마시는 물의 맛이 이상할 정도 ㅋㅋㅋㅋ 근데 이게 마라 매력 아니겠습니까 ㅜㅜ 완젼 맥주안주...

반찬으로 갓 절임이 있는데 이거 매콤하니 아쥬 별미네용 꼭 맛보세요!!

밥 무한으로 주세용 ㅎㅎ

면은 저녁 8시까지만 가능합니당!!",29
5,4.0,"우육면관 광화문점. 이 지점에 별도로 있는 저녁메뉴 궁금해서 가봤는데 맛이 괜찮아서 인기 있는 이유를 알 것 같았던... 1~2층 사용하지만 가게 공간 자체가 넓지는 않고, 꽤 이른 시간부터 사람이 많다.

요리가 궁금해서 어향가지, 마파연두부, 오이소채 주문해서 밥이랑 같이 먹었는데, 음식이 대부분 자극적이긴 해서 나중에 수교 추가했다. 가지를 좋아하기도 하고 어향가지가 제일 맛있었는데, 튀긴 가지도 맛있고 어향 느낌도 적당하고, 향신료를 많이 좋아하지 않는 사람에게도 호불호가 적을 듯한 맛이었다. 마파연두부는 부드러운 연두부 좋아하고, 적당히 매콤한 맛까지는 괜찮았는데 얼얼한 마라향이 강해서 요리를 다 먹기는 좀 부담스러웠다. 이런 강한 마라느낌 좋아하는 사람은 아주 좋아할 듯. 많이 자극적인 느낌이라 수교 추가해서 먹었다. 이전에 우육면과 먹을 때는 수교가 좀 밋밋한 느낌이었는데, 이런 요리들과 같이 먹으니까 아주 잘 어울려서 신기했다.

사람은 많고 자리는 좁고 복작거리는 가게라 그렇게 좋아하는 분위기는 아닌데, 주문이나 요리 나오는 시간이나 홀관리가 잘되서 불편하지 않았다. 간단히 1~2인이가서 간단히 술한잔 하기에는 좋을 듯.",29
6,5.0,"- 디너 코스보다 만족스러웠던 소흥주 칠리새우 단품 포장 이용!

레스케이프 호텔에서 투숙한 날에 소흥주 칠리새우를 포장해서 객실에서 먹었어요. 포장은 예약 후 이용할 수 있고, 포장 할인이 적용됩니다. 게다가 투숙객이라면 투숙객 할인까지 추가로 적용할 수 있어서 추천해요! 특히 저희는 지난번 팔레드신 방문 때 디너 코스 식사권을 이용하느라 못 먹었던 칠리새우만이 유일한 목적이었기에 포장으로 간단하게 먹는 게 더 좋았어요ㅋㅋ

칠리새우는 먹자마자 왜 많은 사람들이 추천하는지 알 수 있었어요! 맛도 맛이지만, 두툼하면서도 바삭한 튀김옷이 이에 찐득하게 달라붙는 예상치 못한 식감 덕에 여태 먹어본 칠리새우와는 너무 달라 팔레드신에서만 먹을 수 있는 스타일이 아닐까 싶더라고요. 할인을 받아도 비싼 가격이지만, 칠리새우를 좋아한다면 꼭 한 번 먹어볼 만하다고 생각해요!",29
7,6.0,"레스케이프 호텔 안에 있는 중식당입니다. 메뉴판이 거의 책 수준으로 종류가 정말 많아서 고르기도 어려웠네요.

딤섬 중에 창펀이 먹고싶었는데 품절이라고 해서 하가우와 소룡포를 먹었는데 한입에 먹기 엄청나게 뜨겁지 않아서 오히려 좋았어요. 새우는 탱글하고 육수는 뜨끈하고 맛있었네요. 굳이 간장을 찍지 않아도 간간해요.

해파리냉채는 흔히 생각하는 채 형태는 아니고 넓게 펴져있는 형태였는데 새콤하고 입맛 돋구는 맛이었어요. 다만 가격에 비해서 플레이팅이 조금 아쉬웠던.

사천식 라즈지는 말린 고추와 함께 튀겨진 닭튀김인데 그 자체도 후추향이 강했는데 고추도 꽤나 매워서 맥주 한잔이 생각나는 맛이었어요. 전반적으로 드라이한 맛이어서 특색은 없었던 것 같습니다.

일행에게 제일 반응이 좋았던 소흥주 칠리새우! 겉은 달달하고 바삭한 튀김옷을 입고 있고 안은 통통한 새우로 가득 차 있어서 너무 맛있었어요. 트러플 볶음밥은 해산물이 많이 들어있진 않지만 트러플 향이 정말 강하게 나서 맛있었구요.

어향가지는 뜨거운 뚝배기에 나오는데 특색이 있진 않아서 다음엔 굳이 또 먹진 않을 것 같아요. 탕수육은 우리가 아는 양념과는 다른 약간 양념치킨맛이 났어요. 같이 나온 파랑 같이 먹으면 맛있긴 했지만 좀 아쉬워요.

전반적으로 분위기도 좋고 맛있긴 했습니다. (ᵔᵕᵔ) 다 먹은 그릇도 바로바로 치워주셨구요.",29
8,7.0,"한참 전에 망플 이벤트에 당첨되어 팔레드신 디너 코스를 먹고 왔어요! 전체적으로 괜찮아서 만족스러웠는데요. 그렇다고 이 돈 주고 또 사 먹겠냐고 한다면 그건 좀 아닌 것 같습니다...ㅋㅋㅋ

단품 추가로 먹은 허니 BBQ는 정말 부드럽고, 생각보다 양도 많아서 좋았어요! 근데 저는 너무 금방 물려서 이것도 다시 먹을 일은 없을 것 같아요. 개인적인 희망이라면 코스에 포함돼서 두세 점만 먹을 수 있으면 가장 맛있게 먹을 수 있을 것 같아요ㅎㅎ

공간은 정말 좋았어요! 우선 제 취향을 냅다 저격하는 레스케이프 호텔에 있기 때문에ㅋㅋㅋ 화장실까지 화려하니 구경해보세요ㅋㅋㅋㅋ",29
9,8.0,"요약 : 맛있다 맛있다.. 근데 내 오리는 어디로..?

맛있다. 맛없으면 안되는 가격이다.

곗돈을 털러 다녀온 곳인데, 이것저것 메뉴를 많이 시켜먹었으나 정신없이 먹느라 사진이 없다.
그래도 미리 주문한 북경오리가 나오는 타이밍에는 휴대폰을 꺼내들고 사진을 찍었는데, 직원분께서 멋진 수레에 구워진 큰 오리를 올려 나와 카빙하는 모습을 잘 보여주신다 슥삭슥삭.

열심히 슥삭슥삭 하시고는 자리에 올려진 자그마한 접시에 삭 올려주시는데 에에..? 양이 참 즉다.. 적은게 아니라 즉다 즉어..
(한 마리 주문하면 사진의 네모난 접시 두 접시가 나옴)

오리껍질부터 설탕에 찍어 먹어보니 - 와아아 정말 맛있다. 기름지고 크리스피한 껍질의 맛.
살코기와 껍질을 같이 넣어 전병에 싸 먹어봐도, 정말 맛있다. 그런데 양 무슨일.. 원래 이런건가.
’제가 발라먹을테니 남은 오리고기 테이블에 놓고 가주세요..‘ 말 하고 싶지만 일행이 부끄러울수 있으니 참아본다.

남은 오리고기는 추가 금액을 내면 볶음이나 국수류로 만들어 준다.
아..! 내가 주문한 15만원짜리 오리는 오리 전체가 아니라 이 접시만큼이구나!ㅎㅎ;;
여튼 아쉬우니 오리 볶음도 먹고 국수도 먹었지만 북경오리 그 자체만큼의 감동은 없었다.

아참, 추가로 시킨 음식 중에 트러플 메추리알 딤섬이 정말 맛있었다!",29
