,0,1,2
0,,reviews,label
1,0.0,"맛있고 정성스러운 한 끼를 대접받고 나오는 곳

공간에서부터 사장님의 말 한마디까지
정성스러운 곳이다

평양냉면과 들기름 메밀국수를 주문했다.
육향이 가득한 평양냉면이다.
짭짤하고 담백한 평양냉면국물은 역시 겨울과 참 잘어울린다.
면의 끊어짐은 심하지 않고
메밀의 구수한 향이 잘 느껴진다.

들기름 메밀국수도 좋았다.
들기름 막국수로 유명한 용인의 식당과
과천의 식당으로 비교하자면
과천의 식당과 더 가까운 맛이다
고소한 들기름의 향이 잘 어우러지면서
감칠맛을 자아낸다.
개인적으론 평양냉면의 감동을 이기진 못했다.

겨울에 찬 음식이 부담스러운 분들을 위한
따뜻한 메뉴들도 준비되어있다.
강화도 여행을 간다면 들러서
정성스러운 식사를 맛보시길!",6
2,1.0,"평냉 입문 완. (8월 방문)

저는 평양냉면의 맛을 전혀 모르던 사람이었는데 제가 좋아하는 홀릭분들이 극찬을 하셔서 궁금한나머지 네이버로 예약하고 방문했습니다.

평양 물냉은 육수 뿐만 아니라 면에서까지 고기맛이 났어요. 과하진 않았고 은근 짭짤하니 제가 먹어본 평냉중에 가장 맛있었어요. (최근에 다른 곳으로 바뀌었지만 ㅎㅎ) 비빔냉면도 고소한 맛이 좋았지만, 개인적으로 함흥 비냉은 아무 생각없이 맛있게 먹다가 정신차려보면 다 먹어있는데 평양 비냉은 역시 제게 그정돈 아닌 것 같습니다 ㅋㅋㅋ 그래도 나쁘지 않았어요.

그리고 항정 수육이 진짜.. 맛있었어요. 보쌈김치가 좀 싱거운건 아쉬웠어요. 좀 더 매콤했으면 좋았을텐데,, 그래도 김치 없이 그냥 먹어도 씹으면 씹을수록 고소함이 터져나와서 ㅠㅠ 순삭했습니다. 한정 메뉴니 일찍 가서 꼭 드셔요!!

<요약>
짱 맛있다: 항정 수육
맛있다: 평양 물냉
괜찮다: 평양 비냉
별로: -",6
3,2.0,"#강화도 맛집 #평냉 #들기름막국수

평냉쟁이님 리뷰를 보고 가보고싶었지만, 강화도 안쪽이라 못가다가 드디어 다녀왔습니다.
강화도는 맛집불모지라 들었는데, 이번 강화도 여행은 완전 맛도리여행이었어요 ㅎㅎ

평냉1, 들기름막국수1, 만두 반접시 주문했습니다.

사실 평냉 좋아라하지만 육수까지 벌컥벌컥 마시는 가게는 많지 않은데요, 이곳은 육수 원샷 가능한 저의 원탑 평냉집이 되었습니다. 일단 육수의 향은 너무 강하지 않은 은은하면서도 부담스럽게 진하지않은 육향이었어요. 약간 소고기장조림맛이라고 느껴졌는데 그래서 그런가 평냉 처음 드시는분들은 평냉입문하시기 딱 좋은맛?일거라 생각했어요. 껍질 하나도 안들어간 메밀 100이었고 너무 부드러웠어요.

들기름막국수는 고기리막국수랑 비교했을때는 특제소스 맛(뭐가 들어갔는지는 진짜 모르겠어요)이 강하지않고 들기름향이 더 강했고 꼬수웠어요.

평냉이랑 들기름막국수 둘다 너무 맛있었지만, 무엇보다 맛있었던건 무절임이었어요. 무절임은 시큼하지도 않고 적당히 달짝지근했는데 너무 아삭하고 좋더라구요. 집에서 해봤는데 절대 이맛 안났어요ㅜㅜ

재방문의사 완전 3000% 입니다. 대신 담에 가면 평냉 주문할것 같아요",6
4,3.0,"평양냉면 처음 먹어보는 친구는 누구나 그렇듯
여기서 무슨 맛이 나긴 하는거냐며 놀랐지만
평냉 n회차인 다른 일행들은 모두 여기만큼
육향이 강하고 맛이 확 느껴지는 평냉은 처음이라며
반응이 훅훅 갈렸던 곳이다
친구야 진짜로 여긴 평냉중에 제일 고기맛 많이 나...

사진속 평양냉면은 곱빼기를 주문한거라
국수타래가 두 덩이였다 양 완전 많음
입짧은 두 사람이 방문한다면 곱빼기 한 그릇으로
충분히 배불러서 다른 건 맛보지 못할 듯
진짜로 국물이 고깃국 그 자체인데다
간도 적절해서 맛이 직관적으로 느껴진다
다른데서 평냉맛이 이게맞나? 싶었던 사람도
여기오면 오 이게 바로 평냉의 매력인가? 할지도

평냉보다 사실 더 맛있게 즐긴건 들기름 국수였다
유명하다는 집 다 가봐도 그저 그랬는데
여기서 사먹는 들기름 메밀국수 중 가장 맛있는
버전을 만나게 될 줄이야! 기름부터 아주 좋은거
쓰시는지 나오자마자 고소한 향내에 사로잡힌다
방앗간에서 직접 짜신 기름이라는데
가능하다면 들기름 구매하고 싶을정도

항정살 수육도 굉장히 만족스러웠다
같이나오는 김치와 곁들이면 막걸리 생각이
절로 나고 운전해서 온 걸 원망하게 되는 맛
(여긴 왜 차 없이는 못가는 위치인가....ㅠ)

직접 빚으신다는 만두도 굉장히 맛있다
겨울부터는 만두국도 하신댔는데
이 평냉 육수에 요 만두를 넣고 만두국 하신다면
이건 실패할 수 없는 약속된 맛

나오면서 꼭 만두국 먹으러 다시올게요 했음
약속 지키는 착한 어른이 되기위해 재방문 예정",6
5,4.0,"<잠시 이별을 위한, 마지막 인사 4>
<선명한 갈비맛>

지금은 너무나도 유명한 강화도 냉면집.

----------------------------------------------------------------------------------

이번에도 뚜벅뚜벅. 공항철도 타고 검암역에서 버스로 갈아 타면 나름 쉽게 갈 수 있는. 물론 보릿고개역에서 내려도 바로 서령이 보이는 건 아니어서 어느 정도 걸어가긴 해야 한다. 가게까지 걸어가는 이 시간이 그나마 제일 배고프고 힘겨운 시간. 보릿고개역이라는 역 이름이 절묘하게 와닿는 시간이기도 하다.

언제나 시작은 물냉 양 많이. 이어서 비빔 또는 들기름. 비계는 안 친해서 항정살은 언제나 생략. 만두는 서비스.

육향이 더 강해진 듯 했다. 거의 갈비찜의 그것에 가까웠던 것으로 기억한다. 평냉에 흔히들 떠올리는 무맛의 미학과는 확연히 거리가 있달까. 느껴지는 맛이 선명하고 입에 쩍쩍 붙는다.

지금의 물냉이 초심자분들께는 확실히 편하게 다가오리라. 오랜 팬들 가운데는 분명 미묘하게 아쉽다 느낀 분도 있겠지만 어쩔 수 없는 일이다. 대중성을 아예 외면할 수 있는 업장은 장르를 불문하고 없다.

배부르게 비냉도 하나 후식 삼아 먹고 나오니, 힘겹게만 느껴졌던 정류장까지의 길도 후식이 되는 기적. 역시 여유로운 상태에서는 마음도 여유롭다. 안개 낀 산자락 뷰를 즐기며 달게 걸었다. 버스에서는 더 달게 잤고.

다음 방문일은 아마도 털 두른 패딩 없이는 못 움직이는 날이 될 듯 하다.",6
6,5.0,"루지 타고 나와서 약간 애매한 시간에 갔는데 3시 반이면 영업 종료라고... 더 늦게 가면 못 먹을 뻔했다. 예약을 받나보던데 우리는 당일에 워크인이라 자리가 날 때까지 기다렸다.

평양냉면인데 생각보다 간이 잘 되어 있어 밋밋하지 않은 맛이다.
면은 막국수인가 싶은 메밀면. 같이 나오는 무채가 두 종류인데 하얀 것은 치킨 무 맛이 나고 빨간 것은 살짝 맵다.

들기름에 비빈 비빔 국수가 무척이나 먹고 싶어서 찾아간 곳인데 (14,000원), 비빔도 맛있지만 만두가 맛있더라.
피가 부드럽고 얇은 편인데, 김치 만두는 김치속에 물기가 좀 있다고 해야 하나? 따뜻해서 먹기 더 좋았다. 고기 만두가 더 맛있다는 게 일행들의 중론.
물냉면의 육수에는 간이 이미 되어 있어서 쇠고기 무국 맛이 났다
수요미식회에도 나왔다고.",6
7,6.0,"항정살 수육을 맛보기 위해 강화도까지 왔다.
주차는 앞에 주차장이 있지만 넓지는 않아 근처에 주차를 할수 밖에 없었다.
네이버 예약하고 가면 빠르게 먹을수 있다.
그걸 모르고 갔기때문에 1시간을 기다리기로 했다

물냉면과 들기름 메밀국수를 시켰다.
수량이 정해진 항정살 수육은 맛볼수 없었고, 아쉬운대로 만두를 주문했다.

고기리와 장원이 생각나지 않는다는 이야기에 공감을 할수 없었다.
기대가 너무 컸다고 본다.

물냉면 들기름메밀 모두 조금은 아쉬웠지만,
생각하지 않았던 만두의 맛이 좋았다.

고기2, 김치2로 4개를 주시는데, 고기만두만으로 고를수 있었으면 좋겠다.
여기는 만두 맛집이다.

다음엔 큰기대를 접고 거볍게 와봐야겠다.",6
8,7.0,"#아이와함께 #부모님과함께 #평냉알못 #강화여행

> 비빔냉면
비냉은 실패하지 않쥬
잘게 찢어진 소고기 고명이 즐거움을 더하네요.
가족들 모두에게 만족스러운 평을 받은 냉면이었어요.
평양 비냉은 처음이지만,
함흥 비냉보단 평양 비냉이 더 제 취향인것 같아요

> 들기름막국수
어… 사먹고 만들어먹는 맛보다는 좀.. 아쉬웠어요.
국수 자체는 좀 싱겁고 무채랑 같이 먹으면 간이 맞는데
그걸 제외하고서라도 뭔가 아쉬운 맛이었어요.

> 물냉면
한입 얻어먹어 보았는데, 진한 맛의 육수가 눈에 띄네요.
평냉을 다시 시도해본다면 이 정도면 꽤나 맛있게 먹을것같아요.
하지만 평냉알못이라..
매력을 느끼진 못했고..
부모님은 (조미료맛..이 나신다고 하셨어요ㅠㅠ)

> 만두
투박하게 썰린 재료들로 만든 만두에요.
피가 얇다는 느낌은 없었는데 부드러워서 그런지
젓가락으로 집으면 바로 찢겨져요 ㅎㅎ
제겐 평범했어요

> 재방문의사 있음
근처 지날때 비냉먹고 싶을때…?

> 방문팁
꼭 예약후 방문할것
11:30 예약후 방문했는데 이후 논부킹으로 오신 분들은
모두 두시반 이후 식사가 가능하다고 하셔서 돌아가셨어요.

> 아기의자있음. 유아식기제공. 주차공간있음",6
9,8.0,"들기름, 물냉면(면 추가), 만두를 주문.

물냉면은 깔끔하나 감동을 불러일으킬 정도까지는 아닌거 같고, 들기름은 첫 경험이라서 그런지 특색있고 맛도 좋았다.

만두도 꽤 괜찮았고.

예약을 안하고 주말 점심시간에 왔는데 1시간 정도 대기해야 한다고 겁을 주더니만 실제는 25분 기다림ㅋ",6
