,0,1,2
0,,reviews,label
1,0.0,.,8
2,1.0,"바이브에 값을 지불한다는 게 이 집이랑 잘 어울리지 않나.. 음식 맛으로만 보면 솔직히 이 집 보다 맛있는 집 많고 와 맛있다란 생각이 들진 않지만 종로 한복판 나무들에 둘러싸인 선선한 야장에서 막창이라면 말이 달라지죠. 괜히 웨이팅 지옥이라는 말이 생긴 게 아닌 곳. 주변 직장인들 정말 부러워지는 부분!

핫타임에는 웨이팅이 많아 포기했는데 1차 갔다 오니 마침 자리가 하나 있어서 바로 앉았어요. 아직은 밤에는 살짝 쌀쌀한 날씨라 그런지 불이 들어왔을 때 오히려 따땃하니 좋더라구요. 막창은 앞에서 말했던 것 처럼 맛있지만 다소 평범한 편이었는데 그냥 그 분위기에서 소주 한 잔 마실 때 너무 좋더라구요! 가 본 사람 아니면 이해 못할 수 있지만 가보면 아실 거에요 ㅎㅎ

이렇게까지 웨이팅을 해야할까라면 실망이 클 수도 있을 것 같은데 야장 바이브 좋아하는 분들에겐 가치 있을 것 같네요!",8
3,2.0,"냠냠

레전도 굳",8
4,3.0,잡내 1도 없음 꿀-맛,8
5,4.0,"야외에서 먹는 막창이라니,, 위치가 좀 찾기 힘들었지만
야외에서 먹는다는 점만으로 메리트가 있는 곳!
그치만 생각보다 연기가 빠지지않아 조금 힘들었다 ㅎ,,
사실 이 곳은 한번 웨이팅에 실패했던 곳이라 이번엔 오픈에 맞춰서 갔는데 시간을 정말 잘 맞춰가지않으면 테이블 회전도 그렇고 먹기 힘들 것 같다 ㅠㅠㅠ
야외에서 먹는다는 점 때문에 맛에 대한 기대는 그렇게 크지않았는데 왠걸..? 막창이 너무 맛있었다 ㅜㅜ양이 조금 적고 가격이 조금 있어서 그렇지 맛은 진짜 bb
쭈꾸미랑 잔치국수도 시켜먹었는데 맛있었다,,,
숯불에서 구워먹는 쭈꾸미란,,
가격은 조금 있지만 야장이라는 매력과 맛 때문에 한번 더 찾게될 것 같은 곳!",8
6,5.0,"가게 뒤 주차장 같은 공간에서 숯불연기 풀풀 피워대며 몸에 냄새 가득 묻혀가며 먹는 두툼~한 막창구이. 두툼힌데 바짝 구워먹음 아작아작한 껍질에 고소한 막창이 녹아나와 맛있다. 잔치국수로 시원~하게 마무리하면 아주 그만.
단점은 양이 마~니 작아서 실컷 먹으면 지갑이 가벼워질 것이다 ㅎㅎ",8
7,6.0,"도심속 공원에서 맛 볼 수 있는 막창과 쭈꾸미
1시간 웨이팅은 기본
정신없고 테이블 아래 불쪽이 무척 뜨겁지만 막창도 맛있고 야장 갬성 에 술이 술술 들어감..일 끝나고 스트레스 풀러 가기 좋겠음
가격은 저렴하진 않은편이지만 재방문하고 싶다",8
8,7.0,"맛있다ㅜ 근데 안주 안 먹어도 술이 술술 들어가는....야장의 분위기
1인분에 22,000원이고 양이 많진 않다
직접 구워야해서 걱정이 많았는데
잘 못구운 것 같았는데도 고소하고기름지고 너무너무 맛있었다 잡내도 하나도 없음....
요즘같은 날씨에 가면 딱 좋을 듯 하다
네이버로 6시까지만 예약 가능...",8
9,8.0,"5년만에 방문하니 사람이 세배가 되어있었다
이 집 소스는 진리.
저녁시간에 가려면 최소 한시간 웨이팅은 각오하고 갈것.
재방문의사 많음.",8
10,9.0,"야장사진보고 너무너무너무 가고싶던 곳. 밤공기 좋은 저녁에 방문함. 자리 없을까봐 퇴근하자마자 미친듯이 가서 여섯시반 전에 도착했더니 마지막 테이블 겨우 차지함!
이런 공간이 어디있을까.. 싶었는데 정말 찾기 힘들었음. 다음에 갈때 또 헤맬거 같은 느낌임.
넓은 공간에 하늘로 막창 굽는 연기가 모락모락 피어오르는게 분위기가 너무 좋고 막창도 쫄깃고소하다. 냄새같은거 전혀없어서 처음 접하는 사람도 쉽게 먹을 수 있음. 야외라 연기 가득차서 힘들 일도 없고.
막창과 쭈꾸미, 잔치국수 메뉴가 끝이라 간단히 식사할 수 있음. 막창말고 다른 메뉴는 그냥..이라 막창만 먹음 될듯.
지금처럼 날좋을때, 더 더워지기 전에 방문하는 것 추천-",8
11,10.0,빌딩숲 속 야외포차 감성~~막창 양이 적지만 매우 맛있다 ><,8
12,11.0,"추억의 과자 쟈키쟈키맛이 나는 쫄깃쫄깃 막창!
막창을 거의 먹어본 적 없던 제가 여기걸 맛보고 '막창은 곱창보다 맛있는 거구나',라고 했더니 '여기 막창이 그냥 맛있는 거다'고 일행들이 정정해주었던 ...^^;;
굽기 상태에 따라 질김 정도가 크게 변하는지라 굽기가 중요하긴 한데,
살짝 태웠다 싶을 정도로 바짝 익히는게 저는 맛있더라고요.
노릇노릇을 넘어 갈색이 뒤덮어야 쟈키쟈키 맛이 난다고욥~

너무 맛있어서 한사람당 3-4인분씩은 먹은듯.
쭈꾸미도 좋았는데, 저는 막창이 넘사로 마음에 들었어요.

막창먹다가 질린다 싶을 때 쭈꾸미 좀 먹고 다시 막창으로 돌아오는 것을 추천.
비빔잔치국수도 맛있어서 제가 쏵다 흡입해버림.

어유, 잘먹는다~ 하고 칭찬받았던 식사 자리!",8
