,reviews,label
0,"뭐 하나 빠지는 곳 없이 맛있음

호텔이라 가격은 쎔",25
1,"작년 JW Marriott 동대문점의 크리스마스 케이크는 정말 어이없게 실패를 해서 올해는 명불허전 신라호텔 케이크를 주문했다. 뉴스에 나올 만큼 대란이었던 케이크 예약 성공의 뒤편에는 아래와 같은 수고로움이 있었다.

•11월 15일: 친구가 전화. 라인업이 아직 정해지지 않아 다음 주에 다시 연락 달라는 답변 받음.
•11월 17일: 내가 전화. 28일에 케이크 판매 일정이 나올 테니 그때 다시 전화 요청.
•11월 28일: 친구가 전화. 아직도 종류/디자인 확정 안 돼서 예약 안 받음. 12/1 오전 9시 홈페이지에서 디자인 확인 후 전화 예약하면 된다고 안내받음.
•12월 1일: 통화 폭주인지 계속 통화 중으로 뜸. 네 명이 짬 나는 대로 계속 통화를 시도하다가 드디어 한 명의 시도가 리턴 콜 남기는 옵션으로 연결됨. (유독 화장실을 자주 가는 김 매니저 역할을 맡아준 친구에게 무한한 감사를...) 그리고 무려 7시간 후에 리턴콜이 와서 마침내 케이크 예약 완료!

그리고 마침내 다가온 대망의 케이크 픽업 날. 매리어트에서 칠면조를 먼저 픽업하고 신라호텔로 향했다. 페스트리부티크 앞에는 올해의 크리스마스 케이크 라인업 3종이 예쁘게 전시되어 있다. 예약자 이름을 대고 잠시 기다리면 케이크를 가져다준다. 케이크의 상태를 확인하고 결제하면 완료. 특정 신한/삼성/현대카드 할인이 가능하여 예상치도 못하게 15만 원짜리 케이크를 13.5만 원에 득템. 케이크 백이 견고해서 운반하기도 좋다.

칠면조에 곁들인 샴페인이 다 떨어질 때쯤 시간 맞춰 오픈한 케이크와 쏘떼른. 신라호텔 패스트리 부티크의 화이트 홀리데이는 동일한 구성원으로 2019년에도 먹어본 적이 있어 모두 기대가 컸다.

19년도 트리 케이크의 파이핑이 좀 더 세밀하고 촘촘했다면, 22년도 버전은 큼직하고 역동적으로 나뭇잎을 표현했다. 심플한 디자인이지만 케이크를 구성하는 요소들에 각각의 포인트가 있다. 연녹색 생크림에 흐르는 탐스러운 윤기와 그 위에 섬세하게 뿌려진 금가루, 오너먼트처럼 알알이 장식된 초콜릿 펄까지. 함께 포장해 주는 별 모양 초가 cherry on top. 밝은 곳에서 찍었을 때는 색감의 아름다움을, 어두운 곳에서는 나뭇잎을 표현한 크림결에서 지는 그림자로 또 다른 매력 포인트를 느낄 수 있다.

케이크 속은 동일한 딸기 샌드 시트. 저 시트가 엄청나게 맛있다. 부드럽고 촉촉한데 밀도가 높아서 씹는 한 입 한 입에서 달콤한 풍미가 뿜어져 나온다. 케이크 크기가 좀 줄었는지, 세로 단면으로 잘라서 먹을만한 사이즈가 되었다. 정작 잘라놓고 보니 죽순 같다는 의견도 있어서 찍어본 사진. 케이크 받침으로는 납작한 원형 모양의 크런치 한 초콜릿이 사용되었다. 케이크 나이프로는 잘리지 않아서 셰프 나이프를 사용했음에도 엄청 단단해서 자르기 쉽지 않다. 그래도 맛있어서 마지막까지 알차게 먹음.

네 명이서 한 번에 다 먹을 정도의 양이라면, 19년에 6명이 먹다 남긴 것에 비해 확실히 줄어든 것 같다. 그래도 1년에 한 번, 특별한 날에 먹는 케이크라면 가성비보다는 퀄리티를 추구하는 게 낫다.",25
2,"일행이 다쿠아즈 세트를 선물 받아 같이 나눠 먹었어요! 개인적으로 다쿠아즈는 몇 번 안 먹어보긴 했지만, 맛있게 먹어본 적도 없는데요. 패스트리부티크 다쿠아즈가 맛있다고 들어서 궁금했는데 정말 맛있더라고요ㅋㅋ 다쿠아즈도 맛있을 수 있다는 것을 알게 되는 좋은 경험이었습니다ㅋㅋㅋ 특히 딸기에 큰 감흥이 없는 사람으로서 딸기 맛이 의외로 맛있는 게 인상적이었는데요. 나중에 매장 방문했을 때 열심히 살펴보니 그냥 딸기가 아니라 산딸기 맛이더라고요! 좀 더 상큼하고 쨍한 맛이 있어서 더 맛있었던 것 같아요ㅎㅎ",25
3,"❤︎디저트류가 훌륭하다!

신라호텔을 왔으니 패스트리부티크도 한번 들려줘야지~~

가장 유명하다는 다쿠아즈를 중심으로 망고타르트와 팥빵등을 샀다.
종류가 다양하고 특히 홀케이크가 참 맛있어 보여서 미리 크리스마스 케이크를 예약하고 싶을 정도였다.

다쿠아즈는 역시 많은분들의 호평처럼 맛있었다. 쫀득하고 폭신부드러워서 먹기 좋았고 맛별로 그 맛의 풍미가 확실히 느껴졌다.
딸기/초코/녹차/헤이즐넛 맛별로 하나씩 다 사보았는데
워낙 초코 녹차는 좋아해서 기대만큼 맛있었는데 생각보다 헤이즐넛맛이 참 맛있었다!
냉장고에 넣어서 시원하게 해서 먹으면 더더욱 맛있다.

망고타르트는 가격대가 좀 있어서 무슨 금가루라도 뿌렸나 라고 생각했는데 정말 금가루가 뿌려져있었다 ㅎㅎ
타르트 위에 망고가 듬뿍 올려져 있고 금가루가 올려져있어 보기에도 고급스러움과 싱그러움이 느껴졌다.
망고가 정말 너무 맛있었고 타르트로 적당히 바삭하고 부드러워 그자리에서 순삭해버렸다.
신라가 망고가 유명한 이유가 있었군..망고가 달달하고 과즙이 넘친다.

디저트류는 맛있게 먹었는데 기본 플레인 빵들은 생각보다 무난했던 것 같다. 다음에 간다면 다쿠아즈나 디저트들을 하나씩 맛보는게 더 좋을 것 같다. 몽블랑이나 에끌레어등 먹어보고 싶은 친구들이 많았다.

홀케이크도 인기인지 구경할때마다 홀케이크를 사가시는 분들을 목격할 수 있었다!",25
4,망고케잌 영원하라,25
5,"내게 진짜 맛있는 케이크를 알려준곳
나는 어렸을땐 케이크를 자주 먹었지만 커가면서 생크림이 느끼해져 한ㆍ두 조각 밖에 못 먹게 되었다
그래서 생일마다 아이스크림 케이크를 먹게 되었는데
이곤 모카시폰을 먹고 정말 맛있는 케이크가 있다는 것을 알게 되었다. 프랜차이즈 케이크는 크림이 느글느글해서 속이 쓰렸는데 이 곳 케이크는 혼자서 한판을 다 먹을 수 있을정도!
그냥 케이크의 모든 요소가 어나더레벨
패스트리부티크 케이크가 엄청 비싸긴하지만
이 케이크를 먹고나니 프랜차이즈 케이크의 가성비가 훨씬 안좋아보인다.
부모님 생신마다 방문예정!",25
6,역시역시 페스트리 부티크!! 케이크도 식빵도 유명한 다쿠아즈도 넘넘 맛났어요. 테이크아웃하니 웨이팅 따로 없고요 (아 한 10분 기다리긴했어요) 뭘 골라도 맛나니 말해뭐해 입니다!!,25
7,신라호텔에 있는 베이커리 패스트리부티크에용~ 신라호텔 안에있으니 다 비싸고 고급져보이는 마법.. 다쿠아즈 마카롱 젤리 다쿠아즈 아이스크림 케이크 구움과자 빵 등등 다양하게 팔더라구요~ 많이는 안사고 가볍게 한두개 먹으려고 다쿠아즈를 구매! 저는 산딸기맛으로 먹었는데 가격은 4200원이에요! 필링도 맛있구 쫀득하니 맛있었던 패스트리부티크 다음에가면 빵도 많이 사봐야겠어용~,25
8,"다쿠아즈는 아묻따 신라호텔 다쿠아즈

친구한테 신라호텔 멤버십 카드 빌린 답례로 또 들려본 페스트리부티크. 발렌타인 시즌이라 초콜릿 세트나 이런저런 디저트들이 보였지만 아시죠? 페스트리부티크는 다쿠아즈 미만 잡입니다.

친구선물용으로는 무슨 맛을 좋아할 지 몰라서 다양하게 담았고, 집에서 먹는 용도로는 헤이즐넛맛으로만 싹 쓸어담았습니다. 그리고 집에서 먹어봤는데 역시나 신라호텔 다쿠아즈..! 볼륨감도 쩔고 적당히 포실 쫀득한 쉘과 고소하고 잘 녹는 필링까지 완벽한 다쿠아즈였습니다.

다음에 올 일 있으면 또 가야겠네요. 재방문의사O",25
9,"패 스트리부티크 안가봄?
스 을마 (설마) 여기 다꾸아즈 안먹어봄?
트 을림 (틀림) 없이 먹고나면 깜짝 놀랄걸?

+ 거두절미하고 대존맛탱임...역시 신라...대기업의 맛",25
