,reviews,label
0,ㅕㅅㄱㅣㅛ ㅇㅕㅐㅂㅂ,2
1,"왜이렇게 좋아하나 궁금해서 가봤는데 진짜 맛있음

근데 몇 시간씩 기다려서 먹을 맛인진 모르겠고 포장도 추천",2
2,맛있어요,2
3,오랜만에 다시 찾은 농민백암순대! 주말 점심 12시 좀 전에 방문했는데 웨이팅이 6팀 있었어요. 다행히 10~20분 안에 들어갈 수 있었답니다. 2인이었는데도 2인 테이블에 좁게 안앉히고 4인 테이블에 넉넉하게 앉혀주셔서 좋았어요. 앞치마도 먼저 챙겨주시고ㅎㅎ 순대국은 정식 안된대서 특으로 먹었는데 고기가 정말 바텀리스..! 순대가 쪼그맣게 4피스인건 조금 아쉬웠지만 부들부들 맛있는 고기가 가득해서 너무 좋았어요. 여기는 언제 먹어도 너무 맛있는 듯ㅎㅎㅎ,2
4,점심시간 1시간 위이팅은 기본 순댓국을 받고 나면 기다림의 노고가 한순간에 날아가 버린다 무척 바쁨에도 싱글벙글 친절한집,2
5,슨댓국이 이렇게 맛있다니 점심시간 웨이팅 보면 압니다 테이블 회전이 빠르고 순서대로 잘 불러줘서 편하게 기다릴수 있어요 국밥도 푸짐하지만 정식 주문하면 순대와 수육을 같이 먹을수 있어 좋았어요 무척 친절합니다,2
6,"국밥 올타임 원탑 인정!

첨에 망플 상위에 있길래

아니 무슨 강남 횽닝들 입맛이 왜이래? 싶었다

본인은 국밥을 안 좋아함

특유의 그 돼지냄새 때문

근데 이곳은?

일단 냄새가 전혀없고 국물 농도가 완벽해!!

국밥 먹자하면 그걸 왜 먹냐는 본인도 국밥의 세계로 인도하는 맛

일단 양이 굉장히 많음. 다른 국밥 특이 이집에선 기본.

그러니 앵간치 많이먹는 아이들 아니면 객기 부리지말고 기본으로 가라.

오늘 배고팠는데도 일반 겨우 먹었다.

보통 비계부분은 냄새가 나기마련인데도 이곳은 아주 잡내를 잘 잡았다. 이것저것 섞어서 다양하게 맛 볼 수 있음.

앞으로 국밥은 이것미만 안먹는다.

강남 횽님들 입맛은 역시 다시 한번 믿고간다.

잠시 의심한 내 머리를 2대 쳤..",2
7,구웃,2
8,"농민백암왕순대는 강남역을 지나갈 때마다 많은 인파를 보고 앞으로 못갈 것이라 생각이 든 가게였습니다. 하지만 이번에 방문할 땐 그 전날 과음을 한 상황이었으므로 대기 시간은 개의치 않고 어떻게든 순댓국을 먹어 숙취를 해소해야겠다는 생각에 방문을 결심했습니다.

제 우려완 다르게 회전율도 높은 편이라 대기시간도 생각보단 적었습니다. 예상의 절반 수준이었습니다. 대기 명단에 이름이 아닌 성만 적는 것도 신기했습니다.

가게를 들어온 뒤 순대 정식을 주문했습니다.

순대정식(14.0)
혼자 와서 주문했는데도 테이블에 놓인 반찬 양이 넉넉했습니다.
정식에 포함된 고기와 순대 역시 양과 맛 모두 만족스러웠습니다.
순댓국의 국물은 깔끔했으며 그릇 안의 채소 향 역시 잘 스며들었습니다.

푸짐하고 시원한 순댓국을 먹으니 해장이 더욱 잘되었습니다. 좋은 해장하게 해주셔서 감사합니다.",2
9,역시 올만에 먹어도 맛있다,2
