,reviews,label
0,"호반_한식주점부문 맛집(2)

최초방문_’21년 12월
최근방문_’22년 11월

1. 첫 방문 이후 꽤 오랜시간이 지났다. 첫 방문당시 호반은 4.7점을 기록중이었고, 그 기대감만큼은 아니라는 리뷰를 남겼었다 ㅋㅋㅋ 점수는 점차 내려갈것이라 생각했지만, 현재 오히려 4.8점을 기록중이며, 승승장구 중이다.

2. 이번 방문을 통해 알게된 것은 다양한 메뉴를 가지고 있는 노포는 그 노포를 지금까지 오게 만들어준 시그니처메뉴를 미리 알고 방문하는것이 중요하다는 것이다. 두번째 방문에서야 먹어본 “호반”의 병어찜 덕분에, 왜 “호반”이 긴 시간동안 영업을 할수 있었는지, 왜 평점이 이정도까지 올라갈수 있었는지, 그리고 왜 아직도 웨이팅이 있는지에 대해 아주 제대로 알수있게 해줬다.

3. 병어찜과 강굴을 주문했다.
  - 병어찜 (중, 48,-) **
  : 우선 병어는 기본적으로 살이 하얗고 비린내 없이 담백하며 부들부들한 생선이다. 그래서인지 빨갛고 달콤한 양념장과 너무 잘어울렸고, 정말 완벽한 병어찜이 된다. 함께 들어간 두부, 애호박, 감자, 무 모두 정말 맛이 좋았다. 이 곳에 온다면 무조건 병어찜을 먹어야만 한다.
  - 서산강굴 (35,-)
  : 함께방문한 일행의 강력한 주장으로 주문한 강굴이다. 역시나, 맛은 평범한 굴과 차이점은 느끼지 못했다. 하지만, 평범한 굴도 맛있으니 맛있게 먹고왔다.
  - 콩비지 (Service)
  : 역시나 ㅋㅋㅋ 호반의 콩비지는 예술이다 ㅋㅋㅋ 이건 정말 맛있다 ㅋㅋ

4. 호반은 종로의 노포들이 가진 레트로한 분위기를 가지고 있어 술맛을 한껏 올려주지만, 그와 동시에 단점도 명확하다. 자리가 매우 좁고 불편하다(특히 4인방문시) 그리고, 운이 없으면 입구 바로 옆 좌석에 앉아 찬바람을 잔뜩 즐길수도 있으니 운이 좋길 바라야 한다. 그리고, 종로 노포들을 다니면 가격이 묘하게 세다고 느껴질때가 있는데, 호반도 그 중 하나다.

※ 결론
불편하지만 맛있는 호반",1
1,이번엔 도가니무침을 먹어보았는데 크기도 크고 양도 많았다. 맛도 딱 소주안주로 좋았다. 금방 식으니 빨리 먹어야되는게 중요하다.,1
2,#병어찜#순대#낙원동,1
3,여전히 종로3가에서 최고의 맛집은 호반이다. 우설수육은 정말 최고 미쳤다...,1
4,"애정하는 종로 <호반>의 우거지국. 식사 메뉴이다
고기를 삶아내니 육수가 기본적으로 찐
종로 점심 혼밥은 호반 1. 우거지 2.콩비지 3.대구탕",1
5,"어무니가 요리 잘하시는데
진짜 비슷한 맛이남",1
6,맛잇어요,1
7,"한식은 주로 백반집에서 먹어서 안주 전문점을 잘 안 가게 된다. 여긴 언제 한번 인원을 모아 술 한잔하려던 곳인데 근처에 볼일이 있어서 점심에 혼밥을 하게 됐다.

점심 메뉴는 별로 많지 않은데 많이들 순댓국을 드시고 계셨다. 순댓국 사진을 찾아보니 내장 위주로 들어있는 것 같아서 돼지 등뼈가 들어있다는 콩비지를 주문

결론부터 말하자면 콩비지는 강산옥 못지 않게 아주 훌륭하다. 김치가 들어갔는데도 하얀 콩비지는 간이 전혀 밋밋하지 않았으며 콩 입자가 정말 부드럽고 고운 편

돼지 등뼈는 푹 삶아져 살점이 큼직하게 떨어져 나오는데 이걸 콩비지에 듬뿍 적셔 먹으면 상당히 매력적이다. 평소 밑반찬으로 나오는 콩비지보다 훨씬 고급스럽다.

밑반찬 역시 콩비지 잘하는 집답게 부족함과 아쉬움이 전혀 느껴지지 않는다. 간이 기가 막히게 잘 되어 있어서 반찬만으로 안주 삼아 소주 한병도 마실 수 있겠다.",1
8,뭐..그럭저럭 괜찮습니다,1
9,"이곳은 수육도 맛있고 순대도 정말 맛있어요! 근데 가장 맛있게 먹었던 건 오징어 튀김이랑 순대국이 제 입에 아주 찰떡이랐어요 국물이 꽤나 맑은데, 우와 이동네로 출퇴근하면 저녁에 여기서 오징어 튀김에 소주 먹고 점심에 순대국으로 해장할 수 일겠지 생각했어요 근처에 이런 순대국을 내주는 가게가 있는 직장인 분들 부럽습니다",1
