reviews,label
"멘타카무쇼

간만에 홍대에 간 김에 맛난거 먹어보자고 친구와 함께 찾아가게 된 멘타카무쇼 ! 평일 일찍 갔는데도 사람이 가득했고 15분정도 웨이팅이 있었다. 츠케멘 전문으로 하는 곳인데, 국물에 면이 담겨서 나오는 라멘과 달리 츠케멘은
묻히다 라는 뜻의 '츠케루'와 면을 뜻하는 '멘'의 합성어로 따로 나오는 국물인 츠케지루에 면을 찍어서 먹는
음식이라고 한다. 메뉴는 총 6종류. 그치만 자세히 들여다보면 매운맛 추가, 토핑 종류에 따라 메뉴가 갈리는 느낌이라 사실상 농후 츠케멘 하나만 있다고 봐도 된다.

당연히 아지타마고와 차슈를 포함한 농후무쇼츠케멘 주문! 츠케멘은 처음 먹어봐서 사장님께 먹는 방법에 대해서 물어봤더니 친절하게 설명해주셨다. 국물인 츠케지루가 매우 짜게 만들어진 편이라 그냥 면을 푹 담가먹거나 면에 부어먹으면 안되고 젓가락으로 면을 집고 면을 눈대중으로 3등분하여 각자 기호의 따라서 3분의 1 혹은 3분의 2정도 찍어먹으면 된다고 하였다.

처음에는 면만 살짝 집어 맛봤는데 오.. 매우 고소한 맛이였고 면만 먹어도 나쁘지않겠다 싶었다. 그 이후부터 시작된 먹방..! 츠케지루에 일정부분 찍어서 먹었는데 처음엔 면의 고소한 맛이 느껴지다가 뒤에 어패류의 강한 맛이 훅 치고 들어오는데 적당하게 면과 섞어서 입에 바다를 머금은 느낌..! 너무 맛있었다..!
이어서 차슈를 맛봤는데, 와... 그저 감탄...! 보기엔 그냥 간장에 졸인 수육인데 부드러움이 차원이 다르다. 거기다 단순 부드러운게 아니라 적당히 식감도 좋아서 최근 먹은 차슈들중 최고라고 해도 무방할듯..!

먹는 도중에 사장님이 오셔서 새우고추볶음과 고소함을 더해주는 마늘가루, 유자식초까지 추천하는 배합 비율을 설명해주셔서 그대로 츠케지루에 넣어서 섞어 먹었는데
그냥 완전 맛이 새로운 음식으로 변해버렸다. 개인적으로 느낀건 조미료들을 넣기 전이 본연 날 것의 맛이라면 이 조미료들을 넣는 순간 맛이 진짜 완성되는 느낌이였다. (호불호가 갈릴 수 있기 때문에 요청하면 츠케지루 1회 리필 가능하다고 합니다)
감칠맛 폭발.. 그냥 면이 끝없이 들어간다. 그 전엔 먹다보면 사람에 따라 살짝 물릴수도 있겠구나 싶었는데 새우고추볶음 넣은게 진짜 신의 한 수 같다. 살짝 매콤함이 잡아주는 느낌 같이 간 친구도 나도 먹다보니까 양이 되게 많구나 생각이 들어서 남길뻔 했지만 너무 맛있기도하고 사장님께서 설명도 너무 친절하게 해주셔서 도저히 남기고 나올 수가 없어서 싹싹 비웠다.

다 먹었을때쯤 사장님이 다시 오셔서 남은 츠케지루에 육수를 부어서 먹으면 숭늉마냥 먹을 수 있다고 하셨다.
배부른 상태였지만 또 참을 수 없지... 육수를 붓는 순간 약간 숭늉 or 스프처럼 변해서 마시는데, 와 입가심까지 완벽... 사이다 하나 시켰었는데 친구랑 둘 다 괜히 시켰다고 말할 정도였다. 마치 3가지 요리를 먹은 느낌..! 웨이팅이 전혀 아쉽지 않았고, 합정/상수 근처와서 츠케멘을 먹어보신다면 무조건 강력 추천!",22
"<면 담가 무쇼>

연남동의 또 다른 츠케멘 강자.

----------------------------------------------------------------------------------

멘담가무쇼. 멘담가무쇼. 멘타카무쇼에소 멘담가무쇼.

일본 멘야무사시에서 수련하신 사장님의 츠케멘 전문점, 멘타카무쇼. 혼네와는 반대로 면이고 지루고 투박한 스타일의 츠케멘으로 유명하다. 물론 그 투박함을 일찍이 매력으로 승화시킨 업장.

먼저 면 얘기를 안 할 수 없다. 요즘은 보기 드문 통곡물면. 한 눈에 봐도 엄청 거칠고 두꺼워 보이는데 두꺼운 건 맞지만 의외로 매끈하게 넘어가는 면이다. 쫀든하니 씹는 맛 좋고 지루도 굳이 휘저으며 묻히지 않아도 알아서 걸쳐 입는다.

그리고 지루. 정말 짜다. 감칠맛도 쨍하다 싶게 강하다. 그래서 맛있다. 왕 짜니까 왕 맛있다.. 교카이 존재감이 확실하고 묵직함도 고기 육수를 블렌딩했다기보다 니보시를 때려 넣어 잡은 느낌. 먹어 본 지루 중 블렌딩의 인상은 가장 약했다. 돈코츠 등을 섞는 걸 안 좋아하는 내게는 최고였던.

차슈 관련해서는.. 기본적으로 차슈를 추가하지 않아도 지루에 차슈가 멘마와 함께 어느 정도 담긴 상태로 제공된다. 고마운 부분이고, 삼겹차슈를 싫어해서 빼고 주문했던 내겐 당황스러웠던 부분. 다만 의외로 비계 물컹이는 느낌이 적고 담백해 꽤 맛있게 먹었다.

멘마, 아지타마도 훌륭하나 언급했듯 면이 정말 훌륭한 곳이니 무조건 면 많이로 주문하길. 기본 사이즈도 엄청 많이 주시긴 한다. 그래도!..

지루는 일반 지루보다 '카라이 지루 진하게'를 추천한다. 살짝 달콤함도 느껴지는 일반 지루보다 강렬하게 짜고 녹진하다. 사실상 매운 지루보다는 더 짠 지루에 가깝다ㅎ

요약하면 면도 지루도 자기 색깔이 선명한 츠케멘 전문점. 츠케멘을 좋아한다면 멀리서도 들러 볼 가치는 충분한.

P.S)자리마다 놓여 있는 새우가루를 살짝 지루에 추가하면 감칠맛, 매콤함이 훨씬 업그레이드된 지루를 맛볼 수 있다. 맛있지만 조금만으로도 꽤 선명하게 맛을 바꿔버릴 만치 강렬하니 바로 투하하는 건 비추.",22
"귀국후 첫끼로 먹은 츠케멘!!
타마고와 차슈가 다 들어간 농후무쇼츠케멘을 골랐어요.
들어갈 땐 웨이팅이 없었는데 먹다보니 생기더라구요. 그래도 회전이 빠른 편.
면 양을 조절할수 있는지는 몰랐네요! 알았어도 작은거 먹었을거 같긴 해요.
차슈가 보들보들 기름기가 있어 맛있었어요.
기본으로 먹다가 중반쯤에 새우가루를 뿌려먹고, 막바지에 유자식초를 살짝 뿌려먹었어요.
원하면 면 양 선택 뿐만이 아니라 스프추가가 가능한 게 장점! 굳이 따지자면 저는 혼네에 한표이지만 차슈는 이곳이 더 제 취향이었어요 ㅎㅎ",22
"미친 감칠맛의 츠케멘!

기본 츠케멘에 반숙란이 추가된 농후아지타마츠케멘(10,500)을 주문했다. 처음 방문한 가게에서는 역시 가장 기본 메뉴를 먹어봐야지!

일단 면이 정말 쫄깃하다. 뭔가 검은색 점 같은 게 박혀있는 걸로 봐서는 일반 면에 뭔가를 추가하신 것 같은데, 뭔지는 모르겠지만 그 까만색 점이 거칠게 느껴지지 않았으니 잘 만든 면이 아닐까 생각했다. 뭔가가 들어갔으니 일반 밀가루면보다는 맛있을 텐데 식감은 밀가루면 같이 부드러웠다. 면은 쫄깃하고 굵기도 적당해서 딱 좋았다.

츠케지루는 일단 그냥 먹어봤을 때에는 엄청 진하다는 느낌이 들었다. 와중에 감칠맛이 엄청 나서 깜짝 놀랐다. 집에 있는 코인육수를 입에 넣으면 이런 맛일까..? 약간 멸치다시마육수 농축액 같은 느낌이었다. 감칠맛이 너무 풍부해 오히려 많이는 먹기 힘든가 싶을 정도였는데 추천해주신대로 중간부터 고추새우?와 마늘가루를 넣고 먹으니 딱 맛있었다. 마지막에 질릴즈음 유자식초까지 넣어주니 마지막까지 맛있게 먹을 수 있었다! 다만 유자식초가 생각보다 콸콸콸 나오니 주의하시길...

면도 츠케지루도 너무 맛있게 한 끼 잘 먹었다!",22
"츠케맨 상당히 좋아해서 벼르고 벼르다 간 곳. 츠케지루에서 새우 맛이 낭낭하게 나고 면발이 상당히 탱글 하고 맛있었다. 건새운
개인적으로 안넣는게 취향",22
"우선 매장 내부가 굉장히 협소합니다. 그래서 언제나 웨이팅을 생각하고와야 할 것 같아요.

그리고 제가 갔을 때에는 의외로 혼자 온 남자 손님이 꽤 많았어요. 츠케멘이 남자의 음식인건가? 좀 의외였어요.

츠케멘이라는걸 처음 먹어봤습니다. 면발이 쫄깃쫄깃한건 언제나 환영이었고, 츠케멘 소스는 짭잘하니 젓갈의 느낌이 나는 소스네요. 이런 소스라면 살짝 찍어먹는게 적절한 방법이겠네요.

면발과 소스의 상태가 꽤 좋습니다~",22
개안음,22
"전부터 가보고 싶었던 츠케멘집.
솔직히 라멘보다 왠지 츠케멘이 더 마음에 든다. 쌀국수도 그냥 퍼보 같은 국물 있는 것보다 분짜가 더 좋다. 이게 내 취향인가 보다.

상수역 근처의 작은 음식점. 웨이팅이 상당하다고 들었는데 내가 갔을 때는 아슬아슬하게 바로 입장 가능했다.

자리는 거의 바로 났고

키오스크로 주문하고 바로 앉았다. 식당 내부는 조금 좁고 다닥다닥 붙어있어서 편하지는 않다.

자리에는 물 건새우 마늘텐카츠?같은 게 얹어져 있다.

주방에선 분주하게 주문받은 순서대로 음식을 내어준다.

면과 국물이 나왔다.

농후츠케멘 9000 size 중
아지타마고 1000

가장 기본을 먹어보고 싶어서 주문한건데 그럴 필요는 없어보인다. 메뉴를 천천히 보니 애초에 농후아지타마츠케멘을 주문하면 된다.

국물은 두 종류.

농후
농후카라

농후는 우리가 아는 그 뜻인거 같고
카라는 맵다는 일본어.

농후에서 매운 맛을 더한 것이 농후카라.

농후 -기본
농후아지타마고 - 아지타마고 1개
농후무쇼 - 아지타마고 1개 차츄 1피스

농후카라 -기본
농후카라아지타마고 - 아지타마고 1개
농후카라무쇼 - 아지타마고 1개 차츄 1피스

이런 식.

그리고 양은 200 250 300 이렇게 고를 수 있다. 양에 따라 가격차이가 없으니 일반적인 위장을 보유한 성인남성의 경우 큰 걸 하는 게 좋을 듯 싶다.

아마 잘 알고 갔었다면 농후무쇼를 주문했을 것 같은데 아쉽다.

아지타마고가 하나 얹어진 츠케멘.

일단 농후라는 메뉴명답게 진하고 걸쭉한 농후한 국물이다. 찍어먹는 소스이기 때문에 일반 국물보다 훨씬 진하다.

하지만 생각보다 아주 짠 맛이 강하진 않다. 그냥 마셔도 괜찮은 정도. 감칠맛이 워낙 좋아서 자꾸만 손이 간다.

셰프님이 식사 중반쯤 순서대로 순회하시면서 츠케지루에 건새우 작은스푼 2 마늘텐카츠 작은스푼2 정도로 직접 넣어주신다. 이렇게 섞어서 다시 면을 먹어보니 감칠맛이 폭발한다. 국물 하나로 두가지의 맛을 느낄 수 있는 셈이라 아주 마음에 들었다.

면은 우동같은 굵기의 매우매우 쫀쫀 탱탱한 훌륭한 식감을 지닌 것이었다. 츠케멘을 좋아하는 이유가 이 식감이 좋아서이다.

아무래도 좁고 번갑한 분위기라 식사하고 나오기까지 시간이 얼마 걸리지 않았다. 하지만 차슈도 먹어보고 싶은데 하는 아쉬운 맘이 남아 다음을 기약하기로 했다.",22
"초친절
츠케지루가 쪼오끔만 더 진득하고 뜨겁하고 짜우묜 딱~~~~~내 이상형
물론 지금도 충분히 맛있음",22
"농후무쇼츠케멘 12,000

기승전결을 만들며 먹을 수 있어 좋다.
고기 맛있음

청결하다.
친절 센스굿
가게 분위기 좋음",22
