,reviews,label
0,"오징어회 매우 맛있음
다른 메뉴도 맛있음

가격은 싸진 않음
분위기는 포차 분위기

웨이팅 매우 사악함
포장도 추천",3
1,"요약: 오징어는 꼬득한게 아니라 쫄깃하구나 몰랐던 맛 찾아주는 소주집

무려 4차로 방문한 집인데, 오징어회가 맛있으면 얼마나 맛있어서 4.8점일까 싶었다. 접근성만 놓고 보면 오르막 높게 있어서 그닥 좋지 않고, 주변에 술집이 많아 확장성이 있느냐 하면 그것도 아니다. 그런데도 6시 반에 도착하니 앞에 28팀 대기가 있었다.

지난 번에도 방문한 적이 있었는데 비슷한 느낌이라 다른 곳으로 발걸음을 돌렸던 기억이 있어 이번엔 기필코 먹으리 대기에 이름을 올리고 다른 집에서 시간을 죽이고 있었다.

2시간 반정도 대기가 지나고 최종으로 9시~9시 반쯤 입장했던 것 같다. 9시가 좀 넘으니 뒤에 대기가 한산해지기 시작해서 11시쯤 엔 테이블이 2개정도 남기 시작했다.

4차이니만큼 다른 메뉴는 주문하지 않고 오징어포 회에다 요즘 새로나온 새로 소주를 주문.

사실 오징어회 그렇게 좋아하지 않는데, 미끌미끌 꼬독꼬독한 느낌이 그것만 먹기엔 물려서다. 좋아하는 사람은 좋아하는 씹는 맛일텐데, 뭐가 그렇게 특별해서 사람 줄을 이렇게까지 세우나 궁금했다.

이내 나온 오징어회는 야채를 깔고 그 위에 포뜬 오징어회와 날치알을 가장자리를 따라 둥글게 예쁘게 깔아뒀다. 중앙에 초양념과 오징어 다리부분이 함께 봉곳 솟아 올려져 있다.

소주 따라놓고 야채와 오징어포를 입에 털어넣었다. 신세계임. 미끌미끌한 느낌은 없고, 꼬득거리는 식감은 줄었고 쫀득쫄깃한 식감이 생겼다. 평소 먹던 오징어회와 관자 사이랄까. 포를 뜨니 겉의 점액질부분이 입에 닿는 비율이 줄어 그런게 아닐까 하고 혼자 심각하게 고민했다.

짝꿍은 오징어회를 별로 안좋아한다고 했는데 게눈감추듯 오징어회가 사라졌다. 4차고 배가 불렀음에도 소주가 4병이 들어갔다.

좀 일찍 낮술하러 오픈런으로 가고싶은 집이지만, 낮술 때리고 2차장소는 좀 멀리로 이동해야 하는 단점은 감수할 것.

잘먹었습니다!",3
2,"평점 너무 높은듯 ㅋㅋㅋㅋㅋㅋㅋ
그냥저냥 소주먹기 좋다
젊은친구들 오기 좋은곳",3
3,"드디어 재방문! 거의 3년만...
감탄해서 한 번 더 주문했던 포뜬 오징어회를 못 잊어서 왔는데 이번 에이스는 조개탕이었어요!

포뜬 오징어회는 저번과 달리 회가 너무 막 썰어져서 두께가 두껍고 제각각이었어요ㅠ 오징어는 여전히 신선하고 탱탱했지만 포뜬 회가 혀에 착 감기는데 좀 아쉽..

대신 같이 주문한 조개탕이 쫀맛! 자극적이지 않고 맑고 깊은 조개탕이 너무 맛있었어요ㅎㅎ 양배추, 버섯 등 건강한 재료 가~득. 청양고추 더 달라고 해서 넣고 끓이니 칼칼한 맛까지 더해져서 최저 탕탕탕 국물 순삭해서 아쉬웠는데 요청하니 육수 추가도 해주셨어요ㅠㅠ

덕분에 3시간 넘게 즐겁게 떠들었어요~ 여긴 항상 손님 많아서 바쁠텐데도 친절해서 좋아요! 역시 오랫동안 잘 되는 곳은 다 이유가 있는 듯ㅎ
여기 오픈은 4시고 저희는 4시 10분쯤 도착했더니 순서대로 입장 중이어서 15분정도? 밖에서 기다린 후 마지막 남은 한 테이블 차지ㄷㄷ 첫 턴에 앉아서 너무 다행...
5시 넘으면 대기팀 10팀 그냥 넘어가니까 가능하면 오픈런하세요 여러분!
아 참 요즘 핫한 '새로'도 있어요ㅋㅋ",3
4,"❤︎친절하신 사장님과 맛있는 오징어회!

언제가도 웨이팅 극악인 이곳은 한번 날을 잡고 가는게 좋겠다고 생각해서 근처에서 결혼식 끝나고 방문했다.
토요일 애매한시간에 방문했음에도 불구하고 웨이팅 9팀이였다.
그래도 다행히(?) 1시간 정도 기다렸으며 순서가 되면 전화 주시기 때문에 남은 시간동아 강남구청 맛집들도 구경하면서 젠제로도 먹을 수 있었다.

이날 상당히 더웠는데 1시간 웨이팅을 끝내려면 실외석에 앉아야만했다(실내는 웨이팅 남은 시간 무한대..)

실외석이였지만 선풍기도 가까이 있고 저녁이 될수록 선선해져서 괜찮았던 것 같다. 그리고 가게 앞에서 웨이팅 리스트를 확인하시는 이모님(사장님?) 이 굉장히 유쾌하셔서 여러가지 재밌는 토크토크를 할 수 있어서 재밌었다!

가게명은 맛짱조개이지만 가장 유명한 메뉴는 포뜬 오징어회이므로 포뜬 오징어회 하나랑 새우뽕 하나를 시켰다.
오징어회 주문이 밀려있어서 새우뽕부터 나왔다.

메인 메뉴가 나오기전에 떡볶이.고구마.마카로니 사라다.묵은지 김치가 나오는데 여기 떡볶이 맛집이네요...?
떡볶이가 진짜 맛있었다 ㅋㅋㅋ 적절한 매콤달콤함과 떡이 먹기 좋아서 자꾸 들어가는 느낌. 리필도 가능합니다!

✔️새우뽕
호불호가 꽤 있어 걱정했지만 생각보다 괜찮았다! 로제크림짬뽕의 맛이다. 면이 칼국수면이며, 소스가 잘 배여있어서 면만 먹어도 꾸덕함이 잘 느껴졌다. 새우양도 많고 새우도 토실토실했다. 그리고 생각보다 매콤해서 특별히 느끼하다고 생각되지 않았다!
그럼에도 불구하고 아무래도 먹을수록 물렸고 마지막에는 좀 달달한 맛이 강해졌던 것 같아서 오래오래 술이랑 먹을 수 없는 안주인 것 같다.

✔️포뜬 오징어 회 ❤️
오늘의 하이라이트!!
오징어를 얇게 포 떴으며 초장과 함께 위에 날치알이 수북히 쌓여있다.
한입 먹어본 순간...왜 유명한지 알 것 같았다.
일단 오징어자체가 맛있을 뿐만 아니라 양념이 사기이다.
날치알과 초장과 야채와 참기름을 섞었을 뿐인것 같은데 맛있다. 술이랑 정말 잘 어울리는 메뉴이고 왜 인기있는지 알 것 같았다!

맛있다와 괜찮다 사이라 고민했지만..4.8은 아무래도 너무 높은 평점이 아닌가 하여 괜찮다로 해봅니다!
이날 술을 별로 안마셨는데 다음에는 오늘 여기 안주들과 함께 소주를 본격적으로 먹어보겠습니다 하는 날에 재방문해서 이 곳의 바이브나 음식을 더 제대로 깊게 느껴보고 싶다!",3
5,"채 썬 오징어보단 포 뜬 오징어가 낫다.
한 입 가득 넣을 수 있는 오징어

참 애매한 곳이다.
주변에 갈 곳이 많지 않다. 땅코 직영점, 해몽, 진미평양… 응? 꽤 있구나…
해몽과 진미를 가면서 종종 지나치는 곳인데?
항상 사람들로 가득해서 언젠가는 가봐야지 가봐야지하면서 눈독을 들이다 오픈시간에 맞춰 가보았다.

간혹 그런 가게들이 있다. 이름과 따로 노는 가게들.
누가봐도 테이블에 조개가 가득해야 하지만, 여기는 오징어회가 가득하다.
포뜬 산 오징어회다.
흔히 오징어회는 가늘게 채를 썰어서 내온다. 가늘게 썰었기 때문에 한 젓가락에 몇 점씩 집어야 그 오징어의 쫄깃한 식감을 제대로 즐길 수 있다.
여기는 재밌다. 음식 이름과 정확히 일치했다. 오징어를 포를 떴다. 그것도 넓게.
바닥에 상추가 깔려있고 가운데와 외곽을 날치알로 도배를 하고 초장을 뿌렸다. 그리고 그 사이사이에 포 뜬 산오징어를 켜켜이 놓았다. 포 뜬 산오징어는 한점만 집어도 만족스럽다.
오징어라는 재료는 쫄깃함도 있지만, 껍질 손질을 잘못하거나 너무 크게 썰면 질기거나 미끄러운 느낌이 강하게 드는데, 여기는 그런 느낌이 크게 들지 않는다. 아마 날치알과 초장의 역할이 큰 것 같다.
오징어회만 집어서 먹다가 나중에는 상추와 날치알을 한꺼번에 비벼서 먹게 되는데, 이거이거 밥을 찾아야 하거나 술을 찾아야 하는 상황이 된다. 이거 못참지.
오징어회가 쫄깃함으로만 밀어붙이는 단순한 요리인데, 날치알, 상추, 초장 덕분에 다양하게 먹을 수 있는 재미를 넣었다.
그리고 추가로 새우뽕을 주문했다. 로제짬뽕탕이라고 생각하면 된다. 새우, 오징어, 조개가 들어있고 국물은 상당히 걸쭉하다. 버너 위에 올라간 냄비가 끓게 되면 바닥에 숨어있는 칼국수사리부터 먹어치워야 한다. 칼국수 사리를 외면하면 재앙이 올 것이 분명하다. 딱 누구나 좋아할 맛이다. 칼칼하면서 부드럽다. 그리고 한 숟갈 뜨면 자연스레 한잔을 찾게 되는 맛이다.
자연스레 무언가를 만들고 싶어서 스팸(미국산)과 공기밥을 주문했다. 스팸은 우리가 아는 스팸이었고 반숙계란후라이가 같이 따라나오는데,
공기밥에 반숙후라이에 새우뽕? 그렇다. 리조또각이다. 이 각은 누구나 생각할 수 밖에 없다.
맛있다. 술이 올라오면 자연스레 탄수화물을 찾게 되는데, 이거 버릴 수 없는 맛이다. 너무 맛있다.

재밌는 곳이다.
이름과는 어울리지 않게 오징어회가 유명하다.
누구나 아는 오징어회를 재밌게 맛있게 내어놓는 곳이다. 그리고 다른 메뉴들도 해물포차라는 정체성을 지키는 곳이다. 다만, 웨이팅을 각오해야 하는 점과 먹는 동안 바깥에서 기다리시는 분들의 시선을 견뎌야하는 약간의 미안함이 있는 곳이다. 그래도 웨이팅할만한 그런 충분한 곳이다.",3
6,"열라 맛있는 퓨전해물포차..소주 술술 들어가는 맛이지만 간건강이 약해진 나는 홀짝홀짝 새우뽕 로제국물만 들이켰다.. 싸랑하는 망고홀릭 동생이 추천해준 맛집입니다.

- 새우뽕은 로제 좋아하는 사람이라면 한 입 먹고 사르르 녹아내리는 맛!!
- 포뜬오징어회는 쫄깃쫄깃 고소해요!

평일에도 웨이팅 많구, 인원 다 와야 입장가능합니다~~ 재방문의사 매우 있음!!",3
7,"- 한줄평: 유명세 이상의 맛

#강력한 상호명
맛짱조개. 이름부터가 강력한 이 집. 조개맛집일거 같지만, 가장 유명한 메뉴는 얇게 포를 뜬 오징어회다. 음식 좋아하는 푸디라면 이미 알 사람은 다 아는 유명한 집이고 기본적으로 웨이팅이 있다.

#유명세 이상의 맛
사실 이렇게 유명한 맛집에, 누구나 주문한 시그니처 메뉴는 기본적으로 중박 이상을 기대하고 간다. 하지만 이 메뉴는 사실 회가 기본이라 큰 차별점을 기대하기는 어렵다고 생각했는데, 결과론적으로는 오산이었다. 일단 회가 신선하다. 선도도 좋고 식감도 좋다. 거기에 무수하게 뿌려진 날치알이 식감을 더하고 매콤한 양념장, 깻잎, 참기름이라는 한국 근본 양념 조합이 더해진다. 누구나 다 아는 재료인데 조합으로 신선함을 주었다.
이외에 칼국수나 낙지탕탕이도 시켰는데 이 두 메뉴도 무난히 맛있었다.

#총평
맛도 훌륭하고, 스텝분들 접객 능력도 상당하다. 특히나 무더운 여름에 가기 딱 좋은 메뉴라 아직 안 가보신 분들이면 꼭 한번 가보시길.",3
8,"이 집은 포뜬산오징어가 메인이에요 ㅋㅋ
두 접시 드세요~",3
9,"1년만에 재방문했는데
여전히 넘넘 맛있었던 맛짱조개
같이간 언니들도 존맛탱이라고 인정해줌
여기 젤유명한 메뉴인 포뜬산오징어회(25,000원)은 얇은 오징어식감과 초고추장과 톡톡터지는 날치알의 조화... 그리고 새우뽕(30,000원)도 꾸덕하니 로제떡볶이 맛과 비슷한데 소주랑 넘 잘어울린다
칼국수도 들어있어서 식사대용으로도 굿굿
평일에도 다섯시 반정도되면 웨이팅이 있으니.. 가고플 때 막 가긴 힘들지만 worth it!!",3
