,values
강아지, 포메라니안 불독  시바 허스키 말티즈 테리어 토이스패니얼 토이 스패니얼 토이스페니얼 파피용 크레스티드 그레이하운드 퍼그 페키니즈 하운드 토이푸들 푸들 시추 치와와 요크셔테리어 요크셔 요크셔태리어 태리어 스피츠 말티푸 키스혼드 불도그 비숑 비숑프리제 프리제 차우차우 달마티안 달마시안 스탠더드스탠더드푸들 스텐더드 스텐더드푸들 미니어처푸들 도사견 시바견 아키타견 동경이 불개 삽살개 진돗개 풍산개 샤페이 티베탄테리어 티베탄 스페니얼 티베탄스페니얼 라사 압소 프렌치불도그 프렌치불독 프렌치 테리어스키퍼키 폭스테리어 케리블루 케리블루테리어 테리어베들링턴테리어 스카이테리어 실리햄테리어 실리햄 케언 케언테리어 불테리어 웰시테리어 웰시 코기 아이리시테리어 웨스트하일랜드화이트테리어 웨스턴아일랜드화이트테리어 스태퍼드셔불테리어 소프트코티드휘튼테리어 스태퍼드 댄디딘몬트테리어 미니어처 슈나우저 스카치 오스트레일리안 노리치 에어데일 잭러셀테리어 핏불 랫테리어 서섹스 필드스패니얼 아이리시워터스패니얼 클럼버 아메리칸 코커 코카 코카스페니엘 코카스파니엘 코카스패니얼 코커스페니얼 코커스파니엘 브리트니 웰시스프링어스패니얼 스프링어 스파니엘 잉글리시 스파니얼 아이리시 세터 리트리버 골든 래브라도 체서피크 베이 컬리 코티드 플랫 포인터 와이마라너비즐라 바센지 로디지안 리지백 파라오 폭스하운드 바셋 해리어 비글 닥스훈트 블러드하운드 아프간 스코티시 디어하운드 울프하운드 휘핏 보르조이 살루키 아자와크 세인트 버나드 베르니즈 마운틴 도그 부비에 플랑드르 뉴펀들랜드 사모예드 시베리안 알래스칸 맬러뮤트말라뮤트 그린란드견 쿠바츠 저먼 셰퍼드 코몬도르 그레이트 피레니즈 콜리 캉갈 올드 시프도그 풀리 벨지안 타뷰렌 셰틀랜드 비어디드 브리마르 웰시코기 보더 보더콜리 케르피 캐틀도그 피레니안 마스티프 보스롱 도베르만 보르도 로트바일러 복서 자이언트 스탠더드 핀셔 데인 불마스티프 푸치 치와푸 치와쿠스 포메말 요치 카바푸 코카푸 요푸 라부라도도루 포메치와 말티숑 시푸 마우저 몰키 말티폼 말티츄 말티글 말치 말티핀  몰티즈  강쥐  말티 슈나 우저 퍼피  피숑  츠리 프리  믹스 레터 리버 요키  성견 강아지 강아 아지 시츄강아지   9개월말티즈 말티즈를 말티즈수컷 마르티즈 멍멍이 폼피츠 요크 말라뮤트 발바리 스피치 빠삐용 폼피츠4살 푸들비숑 폼피츠? 꼬똥드툴레아구요 깅아지를 말티즈에요 말티즈인데 스파 니엘 코카스 파니엘 반려 견 테리 코카스파 코카스파니 깅아지 몰티즈죠 잡종 레브 라도 리트 말라뮤트에 레트 잡종견 시베리아 말라뮤트와 말라뮤트를 피숑을 암캉아지 중형견 도견 미친개 장모종 단모종 댕댕이 시고르브자브종 시고르브 자브종 포메라니아 버들강아지 도베 도베르 챠우챠우 누렁이 마르티 하룻강아지 똥개 골드 요크셰테리어 페르시안 말티즌뎅 비숑숫컷 믹스견 이개 티컵 애완견 반려견 대형견  쫑이가 점박이 사냥개 쉬츠는 쉬츠 시츈데 시츈 바둑이 비숑푸 시츄을 쫑이는 늑대개 복순이 마티즈 아롱이 똘똘이 요쿠샤 쫑이를 뽀미가 몽몽히 강앚지 다롱이 프메를 순돌이 포숑을 포숑 말튜중 뽀미와 뽀미의 뽀미를 뽀미 말티즌 쮸쮸가 쮸쮸를  쫑이의 쫑이도 씨츄나 뎅뎅이도 멍뭉스 포메리안 포메라이안 미니핀 밍키는 이츄도 소현경 이츄가 이츄는 코코 강지 시고 자브 시고르 시고르자브 시고르자브종 시고르자 멍키 흰둥이 이츄 들개 말티쥬 포피 맹견 명견 펖피
뒹굴, 뒹글
조금, 쪼끔 쪼금 조끔  조늑 쪼금밖에 쩌금
핥다, 햝아 핣는것 햝아여 햛는곳만 핧으며서 햟으면서 햟아 햟는 햝는 햛는 햝는거에요 핡아요 핡는 핡다 햛아 햛다 햛아서 햛으면서 핣고 햩아요 햩는 햩다 햩고 핧네요또
획획, 홱홱
근데, 근대 군데
이런, 요런
뭔가를, 뭔갈
샵,  숍
채택,  채태귿려
