title,noun,count
0.0MHz,연기,262
0.0MHz,정은지,216
0.0MHz,배우,89
0.0MHz,공포영화,49
0.0MHz,웹툰,42
0.0MHz,귀신,39
0.0MHz,공포,37
0.0MHz,연출,31
0.0MHz,원작,31
0.0MHz,보고,29
0.0MHz,스토리,28
0.0MHz,최윤영,28
0.0MHz,곤지암,24
0.0MHz,소름,23
0.0MHz,장면,20
0.0MHz,연기력,20
0.0MHz,추천,18
0.0MHz,여배우,17
0.0MHz,부분,17
0.0MHz,은지,16
0.0MHz,최고,16
0.0MHz,한번,15
0.0MHz,대박,15
0.0MHz,기대,15
0.0MHz,알바,14
0.0MHz,보기,14
0.0MHz,개연,13
0.0MHz,처음,13
0.0MHz,마지막,12
0.0MHz,무서움,12
0.0MHz,초반,12
0.0MHz,예산,12
0.0MHz,수준,12
0.0MHz,킬링타임,11
0.0MHz,감독,11
0.0MHz,한국,10
0.0MHz,몰입,10
0.0MHz,후반,10
0.0MHz,최악,9
0.0MHz,친구,9
0.0MHz,역시,9
0.0MHz,평점,9
0.0MHz,긴장감,9
0.0MHz,눈빛,9
0.0MHz,이건,9
0.0MHz,여름,8
0.0MHz,전개,8
0.0MHz,작품,8
0.0MHz,제일,7
0.0MHz,인생,7
1 더하기 3,감독,8
1 더하기 3,홍콩,5
1 더하기 3,연기,5
1 더하기 3,비유,4
1 더하기 3,똘끼,3
1 더하기 3,연출,3
1 더하기 3,스토리,3
1 더하기 3,표현,3
1 더하기 3,예술,3
1 더하기 3,혜자,3
1 더하기 3,여주,2
1 더하기 3,용기,2
1 더하기 3,어쩌,2
1 더하기 3,해석,2
1 더하기 3,보고,2
1 더하기 3,홍콩인,2
1 더하기 3,이야기,2
1 더하기 3,여배우,2
1 더하기 3,작품,2
1 더하기 3,천재,2
1 더하기 3,남편,2
1 더하기 3,기대,2
1 더하기 3,배우,2
1 더하기 3,메세지,2
1 더하기 3,인어,2
1 더하기 3,연기력,2
1 더하기 3,중국,2
1 더하기 3,열연,2
1 더하기 3,프룻첸,2
1 더하기 3,만두,1
1 더하기 3,근래,1
1 더하기 3,처음,1
1 더하기 3,볼땐,1
1 더하기 3,김기덕,1
1 더하기 3,스타일,1
1 더하기 3,연한,1
1 더하기 3,인정,1
1 더하기 3,이해,1
1 더하기 3,공감,1
1 더하기 3,여운,1
1 더하기 3,인어아가씨,1
1 더하기 3,최고,1
1 더하기 3,애환,1
1 더하기 3,보기,1
1 더하기 3,물고기,1
1 더하기 3,전하,1
1 더하기 3,고자,1
1 더하기 3,과,1
1 더하기 3,의외,1
1 더하기 3,또한,1
10 미니츠 곤,연기,8
10 미니츠 곤,윌리스,6
10 미니츠 곤,액션,6
10 미니츠 곤,브루스,6
10 미니츠 곤,반전,5
10 미니츠 곤,최악,4
10 미니츠 곤,스토리,4
10 미니츠 곤,은행,3
10 미니츠 곤,연출,3
10 미니츠 곤,나름,2
10 미니츠 곤,사건,2
10 미니츠 곤,함,2
10 미니츠 곤,접,2
10 미니츠 곤,배우,2
10 미니츠 곤,긴장감,2
10 미니츠 곤,수준,2
10 미니츠 곤,실력,2
10 미니츠 곤,출연,2
10 미니츠 곤,범죄,2
10 미니츠 곤,집중,1
10 미니츠 곤,구리,1
10 미니츠 곤,확장,1
10 미니츠 곤,외국어,1
10 미니츠 곤,서프라이즈,1
10 미니츠 곤,별로,1
10 미니츠 곤,다이하드,1
10 미니츠 곤,개봉,1
10 미니츠 곤,맘속,1
10 미니츠 곤,국산,1
10 미니츠 곤,이번,1
10 미니츠 곤,입장,1
10 미니츠 곤,임용,1
10 미니츠 곤,우기,1
10 미니츠 곤,상영,1
10 미니츠 곤,볼법,1
10 미니츠 곤,살인범이다,1
10 미니츠 곤,몰입,1
10 미니츠 곤,해도,1
10 미니츠 곤,프로,1
10 미니츠 곤,어찌,1
10 미니츠 곤,재미,1
10 미니츠 곤,조금,1
10 미니츠 곤,도저히,1
10 미니츠 곤,쟝르,1
10 미니츠 곤,체포왕,1
10 미니츠 곤,미드,1
10 미니츠 곤,대감,1
10 미니츠 곤,자마자,1
10 미니츠 곤,시작,1
10 미니츠 곤,기대,1
100일 동안 100가지로 100퍼센트 행복찾기,행복,39
100일 동안 100가지로 100퍼센트 행복찾기,독일,25
100일 동안 100가지로 100퍼센트 행복찾기,마음,22
100일 동안 100가지로 100퍼센트 행복찾기,상영,21
100일 동안 100가지로 100퍼센트 행복찾기,감동,19
100일 동안 100가지로 100퍼센트 행복찾기,무엇,18
100일 동안 100가지로 100퍼센트 행복찾기,대해,18
100일 동안 100가지로 100퍼센트 행복찾기,한번,17
100일 동안 100가지로 100퍼센트 행복찾기,스토리,15
100일 동안 100가지로 100퍼센트 행복찾기,물건,15
100일 동안 100가지로 100퍼센트 행복찾기,추천,13
100일 동안 100가지로 100퍼센트 행복찾기,의미,13
100일 동안 100가지로 100퍼센트 행복찾기,소비,12
100일 동안 100가지로 100퍼센트 행복찾기,재미,11
100일 동안 100가지로 100퍼센트 행복찾기,유머,11
100일 동안 100가지로 100퍼센트 행복찾기,시대,11
100일 동안 100가지로 100퍼센트 행복찾기,물질,10
100일 동안 100가지로 100퍼센트 행복찾기,최고,10
100일 동안 100가지로 100퍼센트 행복찾기,느낌,10
100일 동안 100가지로 100퍼센트 행복찾기,세대,9
100일 동안 100가지로 100퍼센트 행복찾기,배우,8
100일 동안 100가지로 100퍼센트 행복찾기,보기,8
100일 동안 100가지로 100퍼센트 행복찾기,이야기,8
100일 동안 100가지로 100퍼센트 행복찾기,인생,8
100일 동안 100가지로 100퍼센트 행복찾기,구멍,8
100일 동안 100가지로 100퍼센트 행복찾기,코미디,8
100일 동안 100가지로 100퍼센트 행복찾기,별로,8
100일 동안 100가지로 100퍼센트 행복찾기,보고,8
100일 동안 100가지로 100퍼센트 행복찾기,주인공,7
100일 동안 100가지로 100퍼센트 행복찾기,주제,7
100일 동안 100가지로 100퍼센트 행복찾기,기대,7
100일 동안 100가지로 100퍼센트 행복찾기,영혼,7
100일 동안 100가지로 100퍼센트 행복찾기,감독,7
100일 동안 100가지로 100퍼센트 행복찾기,가치,7
100일 동안 100가지로 100퍼센트 행복찾기,마지막,7
100일 동안 100가지로 100퍼센트 행복찾기,장면,7
100일 동안 100가지로 100퍼센트 행복찾기,공감,6
100일 동안 100가지로 100퍼센트 행복찾기,누구,6
100일 동안 100가지로 100퍼센트 행복찾기,소유,6
100일 동안 100가지로 100퍼센트 행복찾기,메시지,6
100일 동안 100가지로 100퍼센트 행복찾기,부분,6
100일 동안 100가지로 100퍼센트 행복찾기,철학,6
100일 동안 100가지로 100퍼센트 행복찾기,고민,6
100일 동안 100가지로 100퍼센트 행복찾기,풍요,6
100일 동안 100가지로 100퍼센트 행복찾기,가장,5
100일 동안 100가지로 100퍼센트 행복찾기,요즘,5
100일 동안 100가지로 100퍼센트 행복찾기,기분,5
100일 동안 100가지로 100퍼센트 행복찾기,매력,5
100일 동안 100가지로 100퍼센트 행복찾기,연기,5
100일 동안 100가지로 100퍼센트 행복찾기,라이프,5
10년,일본,4
10년,미래,4
10년,이야기,3
10년,에피소드,3
10년,고레,2
10년,단편영화,2
10년,미러,2
10년,히로,2
10년,블랙,2
10년,더욱,2
10년,주제,2
10년,플랜,2
10년,장편,2
10년,이웃,1
10년,안보,1
10년,줄거리,1
10년,트레일러,1
10년,실감,1
10년,상상력,1
10년,이기,1
10년,눌려,1
10년,작품,1
10년,상상,1
10년,각기,1
10년,느낌,1
10년,반일감정,1
10년,나머지,1
10년,다음,1
10년,통찰,1
10년,국내,1
10년,결과물,1
10년,기도,1
10년,진심,1
10년,함,1
10년,드라마,1
10년,인사이트,1
10년,그닥,1
10년,시도,1
10년,상영,1
10년,한국,1
10년,피부,1
10년,제일,1
10년,감독,1
10년,관점,1
10년,정치,1
10년,마지막,1
10년,자본주의,1
10년,완성,1
10년,풍자,1
10년,는,1
12번째 솔저,노르웨이,51
12번째 솔저,감동,45
12번째 솔저,최고,33
12번째 솔저,주인공,30
12번째 솔저,연기,29
12번째 솔저,실화,25
12번째 솔저,명작,24
12번째 솔저,긴장감,22
12번째 솔저,몰입,20
12번째 솔저,국민,19
12번째 솔저,배우,16
12번째 솔저,영웅,15
12번째 솔저,전쟁,13
12번째 솔저,가슴,13
12번째 솔저,연출,13
12번째 솔저,내내,11
12번째 솔저,생존,10
12번째 솔저,우리나라,10
12번째 솔저,정신,10
12번째 솔저,보고,10
12번째 솔저,인생,10
12번째 솔저,마지막,9
12번째 솔저,기적,8
12번째 솔저,긴장,8
12번째 솔저,고생,8
12번째 솔저,간만,7
12번째 솔저,추천,7
12번째 솔저,애국심,7
12번째 솔저,군인,7
12번째 솔저,순록,7
12번째 솔저,나라,7
12번째 솔저,역사,7
12번째 솔저,전쟁영화,7
12번째 솔저,사랑,6
12번째 솔저,스토리,6
12번째 솔저,위해,6
12번째 솔저,인간,6
12번째 솔저,대전,6
12번째 솔저,이유,6
12번째 솔저,작품,6
12번째 솔저,대박,6
12번째 솔저,보기,5
12번째 솔저,고통,5
12번째 솔저,오로라,5
12번째 솔저,국경,5
12번째 솔저,일제,5
12번째 솔저,스웨덴,5
12번째 솔저,조금,5
12번째 솔저,독일군,5
12번째 솔저,여운,5
13년의 공백,일본,12
13년의 공백,아버지,11
13년의 공백,가족,8
13년의 공백,인간,5
13년의 공백,무엇,5
13년의 공백,공백,5
13년의 공백,이해,4
13년의 공백,기억,4
13년의 공백,부모님,4
13년의 공백,불매,4
13년의 공백,쪽바리,4
13년의 공백,티비,3
13년의 공백,사이토,3
13년의 공백,존재,3
13년의 공백,모습,3
13년의 공백,장면,2
13년의 공백,한국,2
13년의 공백,다음,2
13년의 공백,상영,2
13년의 공백,단막극,2
13년의 공백,관람,2
13년의 공백,얘기,2
13년의 공백,장례식,2
13년의 공백,최고,2
13년의 공백,추억,2
13년의 공백,누군가,2
13년의 공백,감동,2
13년의 공백,이야기,2
13년의 공백,연기,2
13년의 공백,대해,2
13년의 공백,한번,2
13년의 공백,관객,2
13년의 공백,의미,2
13년의 공백,마음,2
13년의 공백,사이,2
13년의 공백,입장,2
13년의 공백,부모,2
13년의 공백,오늘,2
13년의 공백,원망,2
13년의 공백,타카,2
13년의 공백,가슴,1
13년의 공백,분위기,1
13년의 공백,낯선,1
13년의 공백,용서,1
13년의 공백,마음속,1
13년의 공백,연출,1
13년의 공백,응어리,1
13년의 공백,대상,1
13년의 공백,나위,1
13년의 공백,은인,1
1919 유관순,유관순,102
1919 유관순,열사,57
1919 유관순,독립,50
1919 유관순,대한민국,48
1919 유관순,나라,48
1919 유관순,운동,41
1919 유관순,만세,40
1919 유관순,감동,33
1919 유관순,기억,27
1919 유관순,마음,27
1919 유관순,위해,26
1919 유관순,주년,25
1919 유관순,다큐,24
1919 유관순,역사,24
1919 유관순,항거,23
1919 유관순,국민,22
1919 유관순,한번,18
1919 유관순,의미,18
1919 유관순,장면,18
1919 유관순,독립운동가,17
1919 유관순,고문,16
1919 유관순,배우,15
1919 유관순,연기,15
1919 유관순,자유,15
1919 유관순,마지막,14
1919 유관순,감사,13
1919 유관순,이야기,13
1919 유관순,목숨,13
1919 유관순,사랑,13
1919 유관순,오늘,12
1919 유관순,보기,11
1919 유관순,모습,11
1919 유관순,여성,11
1919 유관순,보고,11
1919 유관순,모든,10
1919 유관순,기도,10
1919 유관순,희생,10
1919 유관순,눈물,10
1919 유관순,누리,9
1919 유관순,대해,9
1919 유관순,다큐멘터리,9
1919 유관순,부분,9
1919 유관순,가슴,9
1919 유관순,라면,9
1919 유관순,영화로,8
1919 유관순,형식,8
1919 유관순,시대,8
1919 유관순,얼마나,8
1919 유관순,영상,8
1919 유관순,일본,7
47미터 2,상어,158
47미터 2,마지막,39
47미터 2,긴장감,33
47미터 2,스토리,26
47미터 2,스릴,24
47미터 2,장면,21
47미터 2,심장,21
47미터 2,반전,19
47미터 2,평점,19
47미터 2,미터,19
47미터 2,공포,18
47미터 2,재미,17
47미터 2,보고,17
47미터 2,처음,17
47미터 2,주인공,16
47미터 2,편이,15
47미터 2,최고,14
47미터 2,긴장,14
47미터 2,보지,13
47미터 2,추천,13
47미터 2,발암,12
47미터 2,내내,12
47미터 2,전작,12
47미터 2,진심,11
47미터 2,니콜,11
47미터 2,딥블루씨,10
47미터 2,깜짝,10
47미터 2,공포영화,10
47미터 2,미아,9
47미터 2,기대,9
47미터 2,연출,9
47미터 2,무슨,9
47미터 2,혼자,9
47미터 2,바다,9
47미터 2,아빠,9
47미터 2,보기,9
47미터 2,킬링타임,9
47미터 2,알바,8
47미터 2,이제,8
47미터 2,쫄깃,8
47미터 2,물속,8
47미터 2,예상,8
47미터 2,편도,7
47미터 2,이건,7
47미터 2,놀람,7
47미터 2,갑툭튀,7
47미터 2,설정,7
47미터 2,노잼,7
47미터 2,느낌,7
47미터 2,바로,6
6솔져스,터키,15
6솔져스,전쟁영화,6
6솔져스,홍보,5
6솔져스,재미,5
6솔져스,군인,5
6솔져스,전투씬,4
6솔져스,감동,4
6솔져스,국뽕,3
6솔져스,평점,3
6솔져스,위해,3
6솔져스,장면,2
6솔져스,나라,2
6솔져스,조국,2
6솔져스,스토리,2
6솔져스,처음,2
6솔져스,무척,2
6솔져스,국방부,2
6솔져스,배달,2
6솔져스,기수,2
6솔져스,존경,1
6솔져스,마음,1
6솔져스,사랑,1
6솔져스,옛날,1
6솔져스,법도,1
6솔져스,촬영기,1
6솔져스,연기,1
6솔져스,에르도안,1
6솔져스,배틀씬,1
6솔져스,지수,1
6솔져스,홍보물,1
6솔져스,거지,1
6솔져스,작품,1
6솔져스,이또,1
6솔져스,역사,1
6솔져스,지역,1
6솔져스,자국,1
6솔져스,정치,1
6솔져스,우선,1
6솔져스,한국영,1
6솔져스,터키어,1
6솔져스,영어,1
6솔져스,폄훼,1
6솔져스,인지상정,1
6솔져스,주의,1
6솔져스,평준화,1
6솔져스,상황,1
6솔져스,한국,1
6솔져스,주둥이,1
6솔져스,군대,1
6솔져스,후퇴,1
82년생 김지영,공감,71
82년생 김지영,이야기,46
82년생 김지영,김지영,43
82년생 김지영,현실,43
82년생 김지영,여성,38
82년생 김지영,엄마,36
82년생 김지영,평점,34
82년생 김지영,테러,32
82년생 김지영,보고,30
82년생 김지영,보지,30
82년생 김지영,배우,24
82년생 김지영,남성,23
82년생 김지영,연기,22
82년생 김지영,눈물,21
82년생 김지영,모든,20
82년생 김지영,어머니,19
82년생 김지영,한국,18
82년생 김지영,남편,17
82년생 김지영,정유미,16
82년생 김지영,세대,15
82년생 김지영,부분,14
82년생 김지영,차별,14
82년생 김지영,최고,14
82년생 김지영,누구,13
82년생 김지영,댓글,13
82년생 김지영,스토리,13
82년생 김지영,페미,13
