title,genre,nation,running_time,release_date,director,actor,grade,summary,poster
0.0MHz,공포,한국,102분,2019 .05.29 개봉,유선동,"정은지(소희), 이성열(상엽), 최윤영(윤정)",15세 관람가,"에디슨의 마지막 발명품, 유령 탐지기?
 “증명할 수 없는 미스터리란 없다”
 가지 말라는 곳에 가야 하는 이유가 있다
 
 세상에 일어나는 초자연 미스터리를 분석하는 동아리 0.0MHz 멤버들이 귀신을 부르는 주파수를 증명하기 위해 우하리의 한 흉가를 찾은 후 기이한 현상이 멈추지 않는데…",https://movie-phinf.pstatic.net/20190517_285/15580610094800liOI_JPEG/movie_image.jpg?type=m203_290_2
1 더하기 3,멜로/로맨스,홍콩,101분,2019 .12.12 개봉,프룻 첸,증미혜자,청소년 관람불가,"멈추지 않는 성욕과 사랑하는 세 명의 남편을 위해,
 선상에서 밤낮 없이 몸을 파는 여인 무이.
 결코 마르지 않은 그녀의 샘,
 그리고 이를 탐한 세 남자의 운명은 과연 어디로 흘러갈까?",https://movie-phinf.pstatic.net/20191204_25/1575439403892UVJG0_JPEG/movie_image.jpg?type=m203_290_2
10 미니츠 곤,"액션, 범죄",캐나다,96분,2019 .11.21 개봉,브라이언 A 밀러,"브루스 윌리스, 마이클 치클리스",15세 관람가,"동물적인 직감과 1초의 오차도 용납하지 않는 설계자 ‘렉스’
 철저한 계획 하에 움직이는 기술자 ‘프랭크’와 멤버들은
 은행을 털지만 비상벨이 울리고 경찰과 시가전을 벌이고
 프랭크는 의문의 공격으로 기억을 잃는데…
 룰이 깨지고 모든 멤버들이 타겟이 된다.
 지워진 10분, 사건이 재구성된다!
 
 사라진 돈의 전쟁이 시작된다!",https://movie-phinf.pstatic.net/20191104_204/1572831892374kDh7z_JPEG/movie_image.jpg?type=m203_290_2
100일 동안 100가지로 100퍼센트 행복찾기,코미디,독일,111분,2019 .09.12 개봉,플로리안 데이비드 핏츠,"플로리안 데이비드 핏츠(폴), 마치아스 슈와바이어퍼(토니)",15세 관람가,"어렸을 적부터 함께 자라고, IT 회사도 공동 운영,
 사는 집도 아랫집, 윗집으로 이웃사촌인 ‘폴’과 ‘토니’는 둘도 없는 X랄 친구!
 
 스마트폰과 아마존 없이는 못 사는 #소비킹 ‘폴’과
 자신감과 발모약 없이는 못 사는 #자기관리킹 ‘토니’가
 1,400만 유로라는 빅딜 성사 후의 축하 파티에서
 거하게 취해 신경전을 벌이다가 홧김에 황당한 내기를 하게 된다.
 
 모든 것을 버린 후, 하루에 한 가지 물건을 돌려받으며
 100일을 버텨야 하는 ‘100일 챌린지’를 하게 된 ‘폴’과 ‘토니’!
 
 극과 극 성격, X랄 친구들의
 죽자고 덤비는 기상천외 100일 챌린지가 시작된다!",https://movie-phinf.pstatic.net/20190823_42/1566527815482pg1bg_JPEG/movie_image.jpg?type=m203_290_2
10년,드라마,일본,99분,2019 .12.12 개봉,"하야카와 치에, 키노시타 유스케, 츠노 메구미","스기사키 하나, 쿠니무라 준, 이케와키 치즈루",전체 관람가,"안락사, 인공지능과 완전히 통제된 교육,
 디지털 유산과 알 권리, 환경오염, 전쟁을 비롯해
 이미 우리의 이야기일 수도,
 혹은 우리의 이야기가 될 수도 있는 세상
 
 고레에다 히로카즈 감독 & 신예 5인 감독이 함께 만든
 냉철하지만 그 안에 따뜻함이 숨어있는 다섯 개의 시선에 관한 이야기",https://movie-phinf.pstatic.net/20191120_7/15742132863658HGFL_JPEG/movie_image.jpg?type=m203_290_2
12번째 솔저,전쟁,노르웨이,135분,2019 .04.11 개봉,해럴드 즈워트,"토마스 갈라스타드(얀 볼스루드), 조나단 리스 마이어스(커트 스테이지)",12세 관람가,"제2차 세계대전 나치에 점령된 노르웨이.
 나치를 함락시킬 유일한 ‘마틴 레드 작전’에 노르웨이 저항군 12명이 투입된다.
 하지만 작전 도중 발각되어 이들 중 11명은 체포되고
 단 1명, '얀'만이 총상을 입은 채 탈출에 성공한다.
 혹독한 추위와 험난한 설산 속에서
 냉혈한 나치 친위대 쿠르트 슈타게는 집요하게 추격해오는데…",https://movie-phinf.pstatic.net/20190329_230/1553821396207SyrSL_JPEG/movie_image.jpg?type=m203_290_2
13년의 공백,"드라마, 가족",일본,71분,2019 .07.04 개봉,사이토 타쿠미,"타카하시 잇세이(마츠다 코지), 릴리 프랭키(마츠다 마사토), 사이토 타쿠미(마츠다 요시유키)",12세 관람가,"담배를 사러 다녀 오겠다는 아버지는 그렇게 돌아오지 않았다.
 엄마는 아버지 대신 일을 나가고, 형은 엄마 대신 내 도시락을 준비했다.
 원망과 그리움이 한 데 섞인 13년이 흐른 지금,
 아버지와의 틈을 메우지 못한 채 아주 오랜만에 그를 마주한다.",https://movie-phinf.pstatic.net/20190529_195/1559091750775r3CRR_JPEG/movie_image.jpg?type=m203_290_2
1919 유관순,다큐멘터리,한국,79분,2019 .03.14 개봉,신상민,"이새봄(유관순), 양윤희(어윤희), 김나니(권애라)",12세 관람가,"100년 전, 소녀들이 대한독립을 위해 세상에 맞서기 시작했다.
 우리가 기억해야 할 그 시절 모든 소녀들의 이름,
 그녀들이 남긴 그날의 가장 생생한 기록!",https://movie-phinf.pstatic.net/20190222_78/1550800424424qWbEp_JPEG/movie_image.jpg?type=m203_290_2
2047 버추얼 레볼루션,"SF, 액션",미국,92분,2019 .10.03 개봉,가이-로저 듀버트,"마이크 도퍼드(내쉬), 제인 배들러(디나), 요헨 해겔(스틸슨)",15세 관람가,"가상현실 기술의 발달로 환상과 현실이 혼합된 근 미래의 유럽.
 어느 날, 사이버 세계 속에서 한 테러조직에 의한 살인사건이 발생하고, 가상과 현실의 구분 없이 살고 있는 사설탐정 ‘내쉬’는 이 테러조직을 추격하기로 한다.
 온라인 가상의 세계와 현실을 오가며 테러리스트를 쫓기 시작하고, 이는 되돌릴 수 없는 결과를 불러오는데…
 
 이 곳에서 상상할 수 있는 모든 액션이 뒤집힌다!",https://movie-phinf.pstatic.net/20190925_8/1569398033867JMugk_JPEG/movie_image.jpg?type=m203_290_2
47미터 2,"공포, 스릴러",미국,90분,2019 .08.28 개봉,요하네스 로버츠,"소피 넬리스(미아), 시스틴 로즈 스탤론(니콜), 브리안느 쥬(알렉사)",15세 관람가,"물에 잠긴 고대 마야의 수중도시 '시발바'를 향해
 짜릿한 동굴 다이빙에 나선 '미아'와 친구들은
 예기치 못한 사고로 미로 같은 동굴 속에 갇혀 헤매던 중
 오랜 시간 굶주린 블라인드 샤크와 맞닥뜨리게 된다.
 
 산소도, 탈출구도 없는 칠흑 같은 어둠 속에 갇힌 이들은
 눈 보다 예민한 제3의 감각으로 좁혀오는 상어떼를 피해
 목숨을 건 극한의 숨바꼭질을 시작하는데..",https://movie-phinf.pstatic.net/20190828_168/1566978748244QCEtz_JPEG/movie_image.jpg?type=m203_290_2
