noun,count,title
증명,980,0.0MHz
미스터리,980,0.0MHz
초자연,490,0.0MHz
흉가,490,0.0MHz
하리,490,0.0MHz
위해,490,0.0MHz
주파수,490,0.0MHz
귀신,490,0.0MHz
멤버,490,0.0MHz
동아리,490,0.0MHz
분석,490,0.0MHz
세상,490,0.0MHz
이유,490,0.0MHz
가야,490,0.0MHz
곳,490,0.0MHz
탐지기,490,0.0MHz
유령,490,0.0MHz
발명품,490,0.0MHz
마지막,490,0.0MHz
에디슨,490,0.0MHz
현상,490,0.0MHz
성욕,39,1 더하기 3
사랑,39,1 더하기 3
명의,39,1 더하기 3
남편,39,1 더하기 3
위해,39,1 더하기 3
선상,39,1 더하기 3
밤낮,39,1 더하기 3
여인,39,1 더하기 3
결코,39,1 더하기 3
마르지,39,1 더하기 3
세,39,1 더하기 3
운명,39,1 더하기 3
과연,39,1 더하기 3
어디,39,1 더하기 3
프랭크,64,10 미니츠 곤
멤버,64,10 미니츠 곤
전쟁,32,10 미니츠 곤
구성,32,10 미니츠 곤
사건,32,10 미니츠 곤
타겟,32,10 미니츠 곤
모든,32,10 미니츠 곤
기억,32,10 미니츠 곤
공격,32,10 미니츠 곤
의문,32,10 미니츠 곤
벌이,32,10 미니츠 곤
시가전,32,10 미니츠 곤
경찰,32,10 미니츠 곤
비상,32,10 미니츠 곤
은행,32,10 미니츠 곤
기술자,32,10 미니츠 곤
계획,32,10 미니츠 곤
렉스,32,10 미니츠 곤
설계자,32,10 미니츠 곤
용납,32,10 미니츠 곤
오차,32,10 미니츠 곤
직감,32,10 미니츠 곤
동물,32,10 미니츠 곤
시작,32,10 미니츠 곤
토니,948,100일 동안 100가지로 100퍼센트 행복찾기
린지,632,100일 동안 100가지로 100퍼센트 행복찾기
친구,632,100일 동안 100가지로 100퍼센트 행복찾기
폴,632,100일 동안 100가지로 100퍼센트 행복찾기
천외,316,100일 동안 100가지로 100퍼센트 행복찾기
기상,316,100일 동안 100가지로 100퍼센트 행복찾기
성격,316,100일 동안 100가지로 100퍼센트 행복찾기
물건,316,100일 동안 100가지로 100퍼센트 행복찾기
하루,316,100일 동안 100가지로 100퍼센트 행복찾기
후의,316,100일 동안 100가지로 100퍼센트 행복찾기
