keyword,counts,label
먹,5934,27
파스타,5133,27
맛있,4988,27
맛,4610,27
좋,4606,27
있,3855,27
하,2693,27
같,2613,27
메뉴,2442,27
소스,2025,27
피자,1882,27
없,1619,27
방문,1604,27
치즈,1371,27
음식,1367,27
곳,1332,27
주문,1303,27
느낌,1272,27
생각,1210,27
와인,1126,27
분위기,1116,27
많,1063,27
정도,1054,27
때,1016,27
스테이크,993,27
가,953,27
예약,942,27
집,878,27
트,875,27
샐러드,867,27
향,843,27
가격,840,27
면,826,27
크림,809,27
토마토,808,27
괜찮,805,27
추천,800,27
식감,788,27
되,732,27
양,684,27
요리,681,27
고기,669,27
리조,658,27
빵,646,27
들,624,27
맛집,595,27
보,587,27
새우,584,27
느끼,583,27
테이블,565,27
라자냐,558,27
식당,548,27
나오,547,27
기대,534,27
만족,524,27
식사,516,27
생면,509,27
시간,496,27
알,481,27
말,470,27
웨이팅,456,27
버섯,453,27
사람,446,27
위,435,27
가게,435,27
재료,432,27
자리,413,27
고소,413,27
입,402,27
도우,400,27
친절,399,27
바질,396,27
다음,394,27
친구,389,27
감자,385,27
디저트,384,27
서비스,383,27
받,378,27
주,361,27
날,359,27
인,356,27
오일,348,27
오,347,27
버터,345,27
간,340,27
개인,334,27
사장,334,27
자체,331,27
레스토랑,330,27
전,330,27
적,327,27
부드럽,325,27
모르,317,27
밥,314,27
조합,313,27
맥주,310,27
들어가,308,27
러플,308,27
코스,307,27
남,305,27
유명,303,27
가능,302,27
공간,302,27
나,299,27
맞,299,27
오픈,299,27
점,295,27
이탈리안,294,27
살,294,27
넣,292,27
스파게티,292,27
기분,288,27
풍미,286,27
끼,284,27
처음,283,27
작,281,27
기억,276,27
무난,275,27
후,273,27
안,270,27
리뷰,270,27
드,268,27
페스,267,27
저녁,265,27
깔끔,263,27
위치,262,27
매콤,259,27
높,256,27
직원,256,27
설명,255,27
스타,252,27
만들,252,27
식전,251,27
전체,249,27
크,248,27
보이,248,27
추가,247,27
신선,247,27
조화,246,27
인테리어,243,27
입맛,243,27
사진,242,27
적당,241,27
이름,240,27
잡,239,27
찾,239,27
시키,235,27
취향,232,27
찍,232,27
배,231,27
앉,230,27
이상,227,27
어란,226,27
스타일,225,27
관자,225,27
레몬,225,27
의사,224,27
쫄깃,221,27
매력,219,27
다양,215,27
최고,214,27
훌륭,214,27
짜,210,27
화이트,208,27
손,205,27
브런치,205,27
앞,203,27
전반,201,27
파이,201,27
시그,201,27
부분,201,27
속,198,27
베이스,198,27
셰프,197,27
먹물,197,27
인상,196,27
퓨레,195,27
토,193,27
플,192,27
선택,190,27
그렇,190,27
상큼,189,27
마음,188,27
화덕,188,27
특별,187,27
꼴,185,27
평범,183,27
쓰,182,27
기본,181,27
튀김,181,27
꾸,181,27
종류,180,27
근처,180,27
로제,179,27
감칠맛,179,27
루,179,27
어울리,178,27
내부,178,27
주말,177,27
사용,176,27
궁금,176,27
오징어,176,27
올리브,175,27
아보카도,175,27
담백,174,27
좋아하,173,27
독특,173,27
얇,172,27
특이,167,27
길,165,27
비주얼,165,27
아쉽,164,27
스프,164,27
리,163,27
넓,163,27
일,163,27
해산물,162,27
야채,162,27
문어,162,27
커피,161,27
차,161,27
가지,161,27
끝,160,27
레,160,27
물,158,27
카페,158,27
이탈리아,156,27
파,156,27
비,156,27
인기,156,27
술,155,27
생선,155,27
나라,154,27
바,154,27
비슷,153,27
성비,151,27
오랜만,151,27
딸리,150,27
단호박,150,27
이번,149,27
점심,149,27
부,149,27
마지막,148,27
룸,148,27
나쁘,147,27
조리,146,27
런,146,27
디쉬,145,27
달,145,27
처,145,27
음료,145,27
강하,144,27
토핑,143,27
디,142,27
데이트,142,27
치,142,27
영국,141,27
골,140,27
신기,139,27
과일,139,27
마늘,138,27
운영,137,27
가격대,137,27
고수,137,27
리코타,136,27
평일,136,27
구성,135,27
오늘,134,27
겉,134,27
베이컨,134,27
완벽,133,27
랍,133,27
얹,133,27
감,133,27
손님,133,27
안주,133,27
돈,132,27
올리,132,27
사이,131,27
필수,131,27
예전,131,27
마시,131,27
연어,130,27
고급,130,27
아이스크림,130,27
씹,129,27
구이,129,27
잔,128,27
비프,128,27
가성,127,27
뷰,127,27
쏘,127,27
내,126,27
특유,126,27
쉐프,125,27
평점,125,27
층,124,27
피스타치오,123,27
쉬,123,27
시,123,27
서빙,122,27
접시,122,27
굽,121,27
저렴,121,27
예쁘,121,27
소시지,121,27
주차,121,27
부족,119,27
닭,119,27
항정살,119,27
옆,118,27
이유,118,27
세트,118,27
샌드위치,118,27
굿,117,27
크림소스,117,27
갈비,116,27
프렌치,116,27
서울,115,27
실망,115,27
자극,115,27
프로슈토,114,27
티,114,27
피클,114,27
덕,113,27
즐기,113,27
피,113,27
섞,112,27
아,112,27
필요,112,27
이용,112,27
망,112,27
여자,112,27
잇,111,27
힘들,110,27
넘,110,27
반,110,27
은은,110,27
메뉴판,110,27
짭짤,110,27
타,110,27
대신,110,27
불편,110,27
맛없,109,27
눈,109,27
계란,109,27
플레이트,108,27
베스트,108,27
비싸,108,27
건강,108,27
비스크,107,27
냄새,107,27
소고기,107,27
촉촉,107,27
뒤,106,27
이날,106,27
진하,105,27
전복,105,27
메인,105,27
담,104,27
봉,103,27
일반,103,27
일행,103,27
쫀득,103,27
경우,102,27
경험,102,27
부담,102,27
올라가,102,27
브레드,102,27
대파,102,27
동네,101,27
고르,101,27
대구,101,27
발사믹,101,27
지,100,27
다르,100,27
상태,100,27
안심,100,27
퀄리티,99,27
핫,99,27
한우,99,27
오리,98,27
시작,98,27
튀,98,27
맘,98,27
만드,98,27
밖,98,27
치킨,98,27
까르보,98,27
참고,97,27
대부분,97,27
조각,97,27
대비,96,27
에피,96,27
타이,96,27
중간,96,27
행복,96,27
매장,96,27
깊,94,27
움,94,27
보통,94,27
르,94,27
꼬,94,27
호불호,93,27
모양,93,27
티라미수,93,27
블랙,93,27
좌석,93,27
수준,92,27
고민,92,27
팀,92,27
우니,92,27
한입,91,27
스터,91,27
양파,91,27
빠,91,27
사이즈,90,27
제공,90,27
준비,90,27
익,89,27
강추,89,27
풍부,89,27
한국,89,27
렐라,89,27
싫,88,27
토마토소스,88,27
전화,88,27
식,88,27
카펠리니,88,27
생각나,87,27
장소,87,27
수,87,27
음식점,87,27
늦,87,27
향긋,86,27
밸런스,86,27
이태리,86,27
주방,86,27
시금치,86,27
새콤,85,27
페페,85,27
따뜻,85,27
우,85,27
등심,85,27
좁,85,27
셰퍼드,85,27
맛보,84,27
비교,84,27
미디,84,27
크러스트,83,27
평,83,27
걱정,83,27
사이드,83,27
리스트,82,27
최근,82,27
녹,82,27
망고,82,27
존,82,27
대표,82,27
아늑,82,27
리가토니,82,27
칵테일,82,27
문,81,27
바뀌,81,27
허브,81,27
덕분,81,27
재미,81,27
